scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahal_blend,False,0.9510,0.9348,0.9659,0.0241,0.0548,1.0000,0.6261,0.5040,0.7483,-0.0041,0.2109,0.9680,0.6063,0.2857,0.7016,-0.1651,0.3048,0.7200,0.7714,0.6635,0.8540,0.0095,0.2033,0.9820,0.1203,0.0943,0.1517,-0.0016,0.0483,0.9680,0.0000,0.0044,0.9510
mahalanobis,False,0.9480,0.9317,0.9639,0.0180,0.0539,1.0000,0.6408,0.5266,0.7545,-0.0050,0.2381,0.9730,0.4984,0.4032,0.7524,-0.0985,0.3302,0.8340,0.7873,0.7048,0.8413,0.0095,0.2254,0.9860,0.1273,0.1035,0.1587,-0.0184,0.0483,0.7890,0.0000,0.0000,0.9480
tier_switch,False,0.9480,0.9317,0.9639,0.0180,0.0539,1.0000,0.6408,0.5266,0.7545,-0.0050,0.2381,0.9730,0.4984,0.4032,0.7524,-0.0985,0.3302,0.8340,0.7873,0.7048,0.8413,0.0095,0.2254,0.9860,0.1273,0.1035,0.1587,-0.0184,0.0483,0.7890,0.0000,0.0000,0.9480
baseline_cosine,False,0.9479,0.9310,0.9634,0.0211,0.0519,1.0000,0.6078,0.4856,0.7303,-0.0265,0.1956,0.9350,0.6349,0.2254,0.6921,-0.2190,0.3048,0.6770,0.7460,0.6476,0.8476,-0.0128,0.1778,0.9430,0.1279,0.0981,0.1524,-0.0054,0.0514,0.9220,0.0000,0.0044,0.9479
z_persender_sigmoid,False,0.9219,0.8996,0.9441,0.0031,0.0173,0.9980,0.5489,0.4479,0.6694,-0.0129,0.0638,0.9260,0.4571,0.3682,0.6349,-0.0382,0.1111,0.7370,0.6857,0.5840,0.7905,-0.0572,0.0921,0.6500,0.1517,0.1187,0.1870,-0.0244,0.0098,0.1460,0.0000,0.0000,0.9219
z_persender_cal,False,0.9191,0.8956,0.9421,0.0005,0.0139,0.9860,0.5489,0.4479,0.6694,-0.0129,0.0638,0.9260,0.4571,0.3682,0.6349,-0.0382,0.1111,0.7370,0.6857,0.5840,0.7905,-0.0572,0.0921,0.6500,0.1517,0.1187,0.1870,-0.0244,0.0098,0.1460,0.0000,0.0000,0.9191
baseline_linear_z3,True,0.9124,0.8869,0.9356,0.0000,0.0000,0.0000,0.5177,0.4200,0.6424,0.0000,0.0000,0.0000,0.4254,0.3270,0.6063,0.0000,0.0000,0.0000,0.7175,0.5587,0.7746,0.0000,0.0000,0.0000,0.1394,0.1127,0.1778,0.0000,0.0000,0.0000,0.0000,0.0133,0.9124
z_global_cal,False,0.9123,0.8871,0.9362,-0.0023,0.0027,0.4470,0.5177,0.4200,0.6424,0.0000,0.0000,0.0000,0.4254,0.3270,0.6063,0.0000,0.0000,0.0000,0.7175,0.5587,0.7746,0.0000,0.0000,0.0000,0.1394,0.1127,0.1778,0.0000,0.0000,0.0000,0.0000,0.0133,0.9123
ewma_centroid_z3,False,0.8566,0.8267,0.8846,-0.0776,-0.0334,0.0000,0.2952,0.1716,0.4627,-0.3689,-0.0769,0.0020,0.1873,0.0413,0.3397,-0.4445,-0.0793,0.0070,0.5365,0.3016,0.6540,-0.3810,-0.0063,0.0190,0.1892,0.1610,0.2276,-0.0781,-0.0146,0.0020,0.0089,0.0222,0.8566
