scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
mahalanobis,False,0.9210,0.9007,0.9375,-0.0182,0.0134,0.4390,0.5442,0.4817,0.6140,-0.0831,0.0644,0.3830,0.4924,0.4242,0.5607,-0.0759,0.1629,0.7880,0.6136,0.5530,0.6856,-0.1553,-0.0264,0.0040,0.1658,0.1426,0.1968,-0.0496,0.0115,0.0850
tier_switch,False,0.9210,0.9007,0.9375,-0.0182,0.0134,0.4390,0.5442,0.4817,0.6140,-0.0831,0.0644,0.3830,0.4924,0.4242,0.5607,-0.0759,0.1629,0.7880,0.6136,0.5530,0.6856,-0.1553,-0.0264,0.0040,0.1658,0.1426,0.1968,-0.0496,0.0115,0.0850
baseline_linear_z3,True,0.9223,0.8992,0.9421,0.0000,0.0000,0.0000,0.5554,0.4693,0.6403,0.0000,0.0000,0.0000,0.4659,0.3106,0.5720,0.0000,0.0000,0.0000,0.7083,0.6326,0.7803,0.0000,0.0000,0.0000,0.1472,0.1214,0.1826,0.0000,0.0000,0.0000
z_global_cal,False,0.9232,0.9011,0.9430,-0.0015,0.0038,0.7200,0.5554,0.4693,0.6403,0.0000,0.0000,0.0000,0.4659,0.3106,0.5720,0.0000,0.0000,0.0000,0.7083,0.6326,0.7803,0.0000,0.0000,0.0000,0.1472,0.1214,0.1826,0.0000,0.0000,0.0000
mahal_blend,False,0.9233,0.9032,0.9392,-0.0140,0.0135,0.5530,0.5311,0.4614,0.6042,-0.0875,0.0436,0.2240,0.4470,0.3863,0.5606,-0.0947,0.1326,0.5850,0.6364,0.5643,0.7159,-0.1364,-0.0076,0.0110,0.1552,0.1365,0.1853,-0.0389,0.0170,0.1970
baseline_cosine,False,0.9217,0.9017,0.9380,-0.0152,0.0118,0.4530,0.5162,0.4433,0.5917,-0.0987,0.0219,0.1150,0.4318,0.3750,0.5341,-0.1023,0.1099,0.4840,0.6364,0.5567,0.7159,-0.1439,0.0000,0.0200,0.1543,0.1330,0.1828,-0.0392,0.0230,0.2450
z_persender_cal,False,0.9173,0.8952,0.9360,-0.0114,0.0013,0.0600,0.4548,0.3723,0.5484,-0.1265,-0.0675,0.0000,0.3561,0.2538,0.4735,-0.1478,-0.0114,0.0140,0.6439,0.5152,0.7348,-0.1515,-0.0076,0.0060,0.1631,0.1330,0.1897,-0.0318,0.0071,0.0910
z_persender_sigmoid,False,0.9167,0.8944,0.9357,-0.0121,0.0011,0.0480,0.4548,0.3723,0.5484,-0.1265,-0.0675,0.0000,0.3561,0.2538,0.4735,-0.1478,-0.0114,0.0140,0.6439,0.5152,0.7348,-0.1515,-0.0076,0.0060,0.1631,0.1330,0.1897,-0.0318,0.0071,0.0910
ewma_centroid_z3,False,0.8527,0.8215,0.8824,-0.0890,-0.0504,0.0000,0.3946,0.3101,0.4825,-0.2175,-0.1053,0.0000,0.3106,0.1970,0.4053,-0.2539,-0.0379,0.0000,0.5606,0.4470,0.6477,-0.2311,-0.0832,0.0000,0.2012,0.1675,0.2333,-0.0798,-0.0274,0.0000
