scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
mahalanobis,False,0.8841,0.8597,0.9061,-0.0104,0.0296,0.8650,0.4838,0.4186,0.5533,-0.0650,0.0672,0.5520,0.4318,0.3409,0.5189,-0.1136,0.1098,0.5690,0.5644,0.4962,0.6288,-0.0568,0.0720,0.6120,0.2198,0.1916,0.2475,-0.0373,0.0312,0.4040
tier_switch,False,0.8841,0.8597,0.9061,-0.0104,0.0296,0.8650,0.4838,0.4186,0.5533,-0.0650,0.0672,0.5520,0.4318,0.3409,0.5189,-0.1136,0.1098,0.5690,0.5644,0.4962,0.6288,-0.0568,0.0720,0.6120,0.2198,0.1916,0.2475,-0.0373,0.0312,0.4040
baseline_linear_z3,True,0.8734,0.8458,0.8972,0.0000,0.0000,0.0000,0.4789,0.4159,0.5476,0.0000,0.0000,0.0000,0.4205,0.3409,0.5303,0.0000,0.0000,0.0000,0.5568,0.4848,0.6213,0.0000,0.0000,0.0000,0.2086,0.1834,0.2527,0.0000,0.0000,0.0000
z_global_cal,False,0.8736,0.8460,0.8974,-0.0003,0.0008,0.7090,0.4789,0.4159,0.5476,0.0000,0.0000,0.0000,0.4205,0.3409,0.5303,0.0000,0.0000,0.0000,0.5568,0.4848,0.6213,0.0000,0.0000,0.0000,0.2086,0.1834,0.2527,0.0000,0.0000,0.0000
mahal_blend,False,0.8750,0.8489,0.8968,-0.0184,0.0191,0.5670,0.4563,0.3879,0.5291,-0.0889,0.0371,0.2280,0.3864,0.2992,0.4811,-0.1554,0.0644,0.2460,0.5455,0.4848,0.6212,-0.0644,0.0530,0.4080,0.2278,0.2031,0.2615,-0.0469,0.0195,0.1850
baseline_cosine,False,0.8672,0.8394,0.8903,-0.0257,0.0108,0.2400,0.4371,0.3659,0.5090,-0.1054,0.0176,0.0850,0.3674,0.2917,0.4621,-0.1667,0.0492,0.1580,0.5417,0.4621,0.6061,-0.0795,0.0417,0.2620,0.2385,0.2075,0.2661,-0.0515,0.0153,0.1150
z_persender_cal,False,0.8640,0.8365,0.8888,-0.0170,-0.0025,0.0090,0.3957,0.3279,0.4682,-0.1164,-0.0510,0.0000,0.3295,0.2576,0.4205,-0.1668,-0.0265,0.0020,0.4924,0.4241,0.5795,-0.1061,-0.0076,0.0070,0.2119,0.1826,0.2448,-0.0203,0.0266,0.5740
z_persender_sigmoid,False,0.8641,0.8367,0.8890,-0.0169,-0.0024,0.0090,0.3957,0.3279,0.4682,-0.1164,-0.0510,0.0000,0.3295,0.2576,0.4205,-0.1668,-0.0265,0.0020,0.4924,0.4241,0.5795,-0.1061,-0.0076,0.0070,0.2119,0.1826,0.2448,-0.0203,0.0266,0.5740
ewma_centroid_z3,False,0.8302,0.7981,0.8597,-0.0594,-0.0272,0.0000,0.3713,0.3020,0.4482,-0.1700,-0.0447,0.0000,0.3258,0.2121,0.4091,-0.2159,-0.0076,0.0130,0.5114,0.3977,0.5758,-0.1439,0.0076,0.0480,0.2385,0.2039,0.2749,-0.0496,0.0000,0.0240
