scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
baseline_linear_z3,True,0.8610,0.8293,0.8909,0.0000,0.0000,0.0000,0.5072,0.4312,0.5834,0.0000,0.0000,0.0000,0.4535,0.3450,0.5349,0.0000,0.0000,0.0000,0.5969,0.5271,0.6783,0.0000,0.0000,0.0000,0.2205,0.1781,0.2555,0.0000,0.0000,0.0000
z_global_cal,False,0.8601,0.8278,0.8905,-0.0020,0.0003,0.0600,0.5072,0.4312,0.5834,0.0000,0.0000,0.0000,0.4535,0.3450,0.5349,0.0000,0.0000,0.0000,0.5969,0.5271,0.6783,0.0000,0.0000,0.0000,0.2205,0.1781,0.2555,0.0000,0.0000,0.0000
mahal_blend,False,0.8575,0.8276,0.8837,-0.0249,0.0174,0.3610,0.4565,0.3952,0.5253,-0.1176,0.0259,0.0860,0.4264,0.3488,0.4961,-0.1124,0.0775,0.2770,0.5349,0.4419,0.6125,-0.1550,0.0078,0.0330,0.2501,0.2100,0.2789,-0.0572,0.0055,0.0470
baseline_cosine,False,0.8550,0.8247,0.8821,-0.0272,0.0143,0.2810,0.4526,0.3904,0.5229,-0.1237,0.0192,0.0750,0.4031,0.3411,0.4922,-0.1203,0.0698,0.2100,0.5349,0.4418,0.6009,-0.1512,-0.0039,0.0180,0.2439,0.2058,0.2832,-0.0615,0.0062,0.0590
mahalanobis,False,0.8597,0.8298,0.8859,-0.0244,0.0215,0.4460,0.4539,0.3858,0.5304,-0.1306,0.0292,0.1200,0.3953,0.3371,0.4690,-0.1357,0.0543,0.1700,0.5698,0.4612,0.6357,-0.1358,0.0310,0.1100,0.2365,0.2046,0.2684,-0.0537,0.0148,0.1300
tier_switch,False,0.8597,0.8298,0.8859,-0.0244,0.0215,0.4460,0.4539,0.3858,0.5304,-0.1306,0.0292,0.1200,0.3953,0.3371,0.4690,-0.1357,0.0543,0.1700,0.5698,0.4612,0.6357,-0.1358,0.0310,0.1100,0.2365,0.2046,0.2684,-0.0537,0.0148,0.1300
z_persender_cal,False,0.8482,0.8177,0.8785,-0.0209,-0.0048,0.0000,0.4023,0.3251,0.4814,-0.1583,-0.0561,0.0000,0.3256,0.2132,0.4536,-0.2171,-0.0233,0.0100,0.4961,0.4302,0.6008,-0.1550,-0.0349,0.0020,0.2248,0.1941,0.2598,-0.0264,0.0097,0.1700
z_persender_sigmoid,False,0.8466,0.8149,0.8776,-0.0226,-0.0061,0.0000,0.4023,0.3251,0.4814,-0.1583,-0.0561,0.0000,0.3256,0.2132,0.4536,-0.2171,-0.0233,0.0100,0.4961,0.4302,0.6008,-0.1550,-0.0349,0.0020,0.2248,0.1941,0.2598,-0.0264,0.0097,0.1700
ewma_centroid_z3,False,0.8290,0.7956,0.8605,-0.0541,-0.0105,0.0030,0.3463,0.2763,0.4442,-0.2303,-0.0767,0.0000,0.2713,0.2016,0.3798,-0.2597,-0.0775,0.0000,0.4574,0.3682,0.6318,-0.2327,0.0155,0.0520,0.2345,0.1953,0.2715,-0.0467,0.0159,0.1580
