scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
baseline_linear_z3,True,0.9470,0.9274,0.9645,0.0000,0.0000,0.0000,0.7251,0.6591,0.7899,0.0000,0.0000,0.0000,0.6705,0.5985,0.7386,0.0000,0.0000,0.0000,0.8220,0.7500,0.8712,0.0000,0.0000,0.0000,0.1181,0.0965,0.1552,0.0000,0.0000,0.0000
z_global_cal,False,0.9465,0.9268,0.9641,-0.0031,0.0025,0.3500,0.7251,0.6591,0.7899,0.0000,0.0000,0.0000,0.6705,0.5985,0.7386,0.0000,0.0000,0.0000,0.8220,0.7500,0.8712,0.0000,0.0000,0.0000,0.1181,0.0965,0.1552,0.0000,0.0000,0.0000
baseline_cosine,False,0.9529,0.9373,0.9674,-0.0063,0.0185,0.8120,0.6826,0.6227,0.7500,-0.0932,0.0071,0.0570,0.6326,0.5567,0.7197,-0.1099,0.0379,0.2160,0.7765,0.6970,0.8447,-0.1061,0.0152,0.0610,0.1189,0.0957,0.1480,-0.0195,0.0274,0.5750
mahal_blend,False,0.9535,0.9382,0.9674,-0.0061,0.0195,0.8350,0.6806,0.6203,0.7479,-0.0953,0.0077,0.0510,0.6250,0.5529,0.7159,-0.1212,0.0303,0.1640,0.7614,0.6932,0.8371,-0.1212,0.0114,0.0480,0.1250,0.0984,0.1480,-0.0239,0.0247,0.5170
mahalanobis,False,0.9497,0.9346,0.9638,-0.0117,0.0174,0.6270,0.6448,0.5794,0.7138,-0.1398,-0.0177,0.0040,0.5833,0.5114,0.6781,-0.1629,0.0000,0.0220,0.7386,0.6704,0.8144,-0.1515,-0.0075,0.0150,0.1267,0.1055,0.1552,-0.0354,0.0230,0.3130
tier_switch,False,0.9497,0.9346,0.9638,-0.0117,0.0174,0.6270,0.6448,0.5794,0.7138,-0.1398,-0.0177,0.0040,0.5833,0.5114,0.6781,-0.1629,0.0000,0.0220,0.7386,0.6704,0.8144,-0.1515,-0.0075,0.0150,0.1267,0.1055,0.1552,-0.0354,0.0230,0.3130
z_persender_cal,False,0.9435,0.9251,0.9596,-0.0098,0.0030,0.1410,0.6232,0.5511,0.6932,-0.1404,-0.0634,0.0000,0.5379,0.4545,0.6705,-0.2009,-0.0075,0.0140,0.7045,0.6514,0.7918,-0.1553,-0.0417,0.0000,0.1179,0.0948,0.1464,-0.0123,0.0222,0.6620
z_persender_sigmoid,False,0.9419,0.9227,0.9589,-0.0116,0.0018,0.0720,0.6232,0.5511,0.6932,-0.1404,-0.0634,0.0000,0.5379,0.4545,0.6705,-0.2009,-0.0075,0.0140,0.7045,0.6514,0.7918,-0.1553,-0.0417,0.0000,0.1179,0.0948,0.1464,-0.0123,0.0222,0.6620
ewma_centroid_z3,False,0.8870,0.8613,0.9123,-0.0787,-0.0434,0.0000,0.5602,0.4864,0.6383,-0.2200,-0.1135,0.0000,0.5189,0.3788,0.5795,-0.2652,-0.0947,0.0000,0.6932,0.6173,0.7576,-0.1894,-0.0795,0.0000,0.1595,0.1266,0.1933,-0.0611,-0.0107,0.0010
