scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
baseline_linear_z3,True,0.9061,0.8780,0.9315,0.0000,0.0000,0.0000,0.7079,0.6420,0.7718,0.0000,0.0000,0.0000,0.6473,0.5659,0.7364,0.0000,0.0000,0.0000,0.7984,0.7209,0.8411,0.0000,0.0000,0.0000,0.1657,0.1233,0.1953,0.0000,0.0000,0.0000
z_global_cal,False,0.9106,0.8834,0.9349,-0.0003,0.0104,0.9630,0.7079,0.6420,0.7718,0.0000,0.0000,0.0000,0.6473,0.5659,0.7364,0.0000,0.0000,0.0000,0.7984,0.7209,0.8411,0.0000,0.0000,0.0000,0.1657,0.1233,0.1953,0.0000,0.0000,0.0000
z_persender_cal,False,0.9103,0.8832,0.9341,-0.0038,0.0136,0.8240,0.6715,0.5975,0.7403,-0.0744,0.0021,0.0340,0.6279,0.4456,0.7249,-0.1706,0.0465,0.2670,0.7519,0.6976,0.8140,-0.0736,0.0078,0.0390,0.1591,0.1241,0.1879,-0.0148,0.0233,0.6420
z_persender_sigmoid,False,0.9075,0.8787,0.9336,-0.0087,0.0123,0.5910,0.6715,0.5975,0.7403,-0.0744,0.0021,0.0340,0.6279,0.4456,0.7249,-0.1706,0.0465,0.2670,0.7519,0.6976,0.8140,-0.0736,0.0078,0.0390,0.1591,0.1241,0.1879,-0.0148,0.0233,0.6420
ewma_centroid_z3,False,0.8792,0.8519,0.9053,-0.0490,-0.0072,0.0010,0.6240,0.5593,0.6934,-0.1444,-0.0251,0.0010,0.6085,0.5349,0.6667,-0.1279,0.0233,0.0980,0.6860,0.6240,0.7519,-0.1629,-0.0426,0.0000,0.1582,0.1306,0.1870,-0.0256,0.0290,0.5370
baseline_cosine,False,0.9255,0.9053,0.9438,0.0004,0.0395,0.9770,0.6522,0.5862,0.7204,-0.1167,0.0022,0.0380,0.6008,0.5000,0.7016,-0.1589,0.0349,0.1310,0.7248,0.6667,0.7829,-0.1164,-0.0039,0.0160,0.1591,0.1326,0.1941,-0.0350,0.0288,0.4400
mahal_blend,False,0.9261,0.9051,0.9439,0.0013,0.0401,0.9840,0.6557,0.5904,0.7244,-0.1136,0.0055,0.0430,0.5891,0.5000,0.7248,-0.1550,0.0543,0.1280,0.7287,0.6705,0.7829,-0.1164,-0.0039,0.0170,0.1548,0.1272,0.1855,-0.0276,0.0393,0.5750
mahalanobis,False,0.9216,0.9003,0.9408,-0.0055,0.0370,0.9420,0.6269,0.5556,0.6960,-0.1456,-0.0191,0.0020,0.5504,0.4457,0.6784,-0.2132,0.0078,0.0400,0.7209,0.6589,0.7752,-0.1279,-0.0116,0.0090,0.1560,0.1284,0.1922,-0.0331,0.0362,0.5190
tier_switch,False,0.9216,0.9003,0.9408,-0.0055,0.0370,0.9420,0.6269,0.5556,0.6960,-0.1456,-0.0191,0.0020,0.5504,0.4457,0.6784,-0.2132,0.0078,0.0400,0.7209,0.6589,0.7752,-0.1279,-0.0116,0.0090,0.1560,0.1284,0.1922,-0.0331,0.0362,0.5190
