scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.9972,0.9952,0.9988,0.0134,0.0406,1.0000,0.9532,0.9239,0.9779,-0.0054,0.0498,0.9470,0.9394,0.8977,0.9697,-0.0227,0.0568,0.7720,0.9848,0.9545,1.0000,0.0076,0.0682,0.9900,0.0365,0.0186,0.0475,0.0011,0.0425,0.9770,0.1833,0.3950,0.9660
mahal_blend,False,0.9967,0.9944,0.9985,0.0129,0.0401,1.0000,0.9481,0.9194,0.9746,-0.0095,0.0435,0.8940,0.9356,0.8939,0.9659,-0.0265,0.0568,0.6930,0.9697,0.9470,0.9962,0.0000,0.0606,0.9740,0.0342,0.0216,0.0516,-0.0011,0.0387,0.9660,0.1517,0.3433,0.9682
baseline_linear_z3,True,0.9709,0.9551,0.9844,0.0000,0.0000,0.0000,0.9304,0.8983,0.9590,0.0000,0.0000,0.0000,0.9242,0.8750,0.9583,0.0000,0.0000,0.0000,0.9432,0.9129,0.9697,0.0000,0.0000,0.0000,0.0581,0.0330,0.0756,0.0000,0.0000,0.0000,0.2467,0.4017,0.9345
z_global_cal,False,0.9747,0.9597,0.9876,-0.0011,0.0105,0.9350,0.9304,0.8983,0.9590,-0.0000,0.0000,0.0040,0.9242,0.8750,0.9583,0.0000,0.0000,0.0000,0.9432,0.9129,0.9697,-0.0003,0.0000,0.0040,0.0581,0.0330,0.0797,-0.0080,0.0000,0.0190,0.2467,0.4017,0.9351
z_persender_cal,False,0.9755,0.9611,0.9881,-0.0011,0.0119,0.9360,0.9224,0.8893,0.9535,-0.0236,0.0031,0.0820,0.9053,0.8674,0.9433,-0.0455,0.0152,0.1370,0.9432,0.9091,0.9697,-0.0152,0.0076,0.0990,0.0627,0.0341,0.0786,-0.0118,0.0072,0.3140,0.2350,0.3733,0.9340
z_persender_sigmoid,False,0.9843,0.9741,0.9924,0.0059,0.0226,1.0000,0.9224,0.8893,0.9535,-0.0236,0.0031,0.0820,0.9053,0.8674,0.9433,-0.0455,0.0152,0.1370,0.9432,0.9091,0.9697,-0.0152,0.0076,0.0990,0.0627,0.0341,0.0786,-0.0118,0.0072,0.3140,0.2350,0.3733,0.9373
mahalanobis,False,0.9920,0.9878,0.9956,0.0089,0.0351,1.0000,0.9059,0.8640,0.9427,-0.0640,0.0096,0.0940,0.8674,0.7917,0.9280,-0.1250,0.0000,0.0220,0.9545,0.9205,0.9773,-0.0227,0.0417,0.6960,0.0486,0.0311,0.0665,-0.0163,0.0281,0.7200,0.0583,0.2283,0.9671
tier_switch,False,0.9920,0.9878,0.9956,0.0089,0.0351,1.0000,0.9059,0.8640,0.9427,-0.0640,0.0096,0.0940,0.8674,0.7917,0.9280,-0.1250,0.0000,0.0220,0.9545,0.9205,0.9773,-0.0227,0.0417,0.6960,0.0486,0.0311,0.0665,-0.0163,0.0281,0.7200,0.0583,0.2283,0.9671
ewma_centroid_z3,False,0.9271,0.9045,0.9475,-0.0604,-0.0273,0.0000,0.8535,0.8093,0.8929,-0.1073,-0.0476,0.0000,0.8562,0.8030,0.8939,-0.1098,-0.0377,0.0000,0.8620,0.8188,0.9013,-0.1135,-0.0482,0.0000,0.0765,0.0565,0.0981,-0.0416,-0.0025,0.0090,1.0000,1.0000,0.8965
