scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.9989,0.9978,0.9997,-0.0000,0.0075,0.9730,0.9783,0.9562,0.9941,-0.0024,0.0407,0.9560,0.9773,0.8902,0.9962,-0.0190,0.1174,0.8570,1.0000,1.0000,1.0000,0.0000,0.0114,0.6440,0.0178,0.0071,0.0249,-0.0044,0.0178,0.8360,0.5283,0.8267,0.8648
mahal_blend,False,0.9986,0.9974,0.9995,-0.0003,0.0073,0.9310,0.9730,0.9487,0.9903,-0.0091,0.0355,0.8710,0.9545,0.8938,0.9962,-0.0379,0.1023,0.6760,1.0000,1.0000,1.0000,0.0000,0.0114,0.6470,0.0186,0.0088,0.0268,-0.0071,0.0159,0.7320,0.4967,0.8167,0.8689
baseline_linear_z3,True,0.9962,0.9914,0.9991,0.0000,0.0000,0.0000,0.9607,0.9300,0.9830,0.0000,0.0000,0.0000,0.9470,0.8485,0.9886,0.0000,0.0000,0.0000,0.9962,0.9886,1.0000,0.0000,0.0000,0.0000,0.0222,0.0107,0.0337,0.0000,0.0000,0.0000,0.4883,0.7650,0.8384
z_global_cal,False,0.9962,0.9914,0.9991,-0.0000,0.0000,0.6040,0.9607,0.9300,0.9830,0.0000,0.0000,0.0000,0.9470,0.8485,0.9886,0.0000,0.0000,0.0000,0.9962,0.9886,1.0000,0.0000,0.0000,0.0000,0.0222,0.0107,0.0337,0.0000,0.0000,0.0000,0.4883,0.7650,0.8384
z_persender_cal,False,0.9982,0.9968,0.9992,-0.0002,0.0061,0.9350,0.9644,0.9367,0.9850,-0.0045,0.0129,0.8190,0.9470,0.8635,0.9924,-0.0341,0.0379,0.5000,1.0000,0.9848,1.0000,-0.0076,0.0114,0.4100,0.0159,0.0088,0.0285,-0.0063,0.0153,0.6990,0.4817,0.7467,0.8366
z_persender_sigmoid,False,0.9982,0.9968,0.9992,-0.0002,0.0061,0.9350,0.9644,0.9367,0.9850,-0.0045,0.0129,0.8190,0.9470,0.8635,0.9924,-0.0341,0.0379,0.5000,1.0000,0.9848,1.0000,-0.0076,0.0114,0.4100,0.0159,0.0088,0.0285,-0.0063,0.0153,0.6990,0.4817,0.7467,0.8366
ewma_centroid_z3,False,0.9458,0.9256,0.9620,-0.0698,-0.0347,0.0000,0.8850,0.8442,0.9182,-0.1091,-0.0482,0.0000,0.8902,0.8332,0.9242,-0.1061,0.0227,0.1150,0.8981,0.8587,0.9280,-0.1364,-0.0685,0.0000,0.0589,0.0424,0.0795,-0.0565,-0.0220,0.0000,0.4750,1.0000,0.7844
mahalanobis,False,0.9963,0.9938,0.9980,-0.0033,0.0051,0.4730,0.9275,0.8829,0.9619,-0.0660,-0.0047,0.0090,0.8750,0.7726,0.9470,-0.1288,0.0455,0.1140,0.9924,0.9735,1.0000,-0.0227,0.0076,0.2160,0.0245,0.0184,0.0436,-0.0224,0.0055,0.1070,0.3733,0.6800,0.8621
tier_switch,False,0.9963,0.9938,0.9980,-0.0033,0.0051,0.4730,0.9275,0.8829,0.9619,-0.0660,-0.0047,0.0090,0.8750,0.7726,0.9470,-0.1288,0.0455,0.1140,0.9924,0.9735,1.0000,-0.0227,0.0076,0.2160,0.0245,0.0184,0.0436,-0.0224,0.0055,0.1070,0.3733,0.6800,0.8621
