scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahal_blend,False,0.9998,0.9994,1.0000,-0.0002,0.0062,0.8580,0.9952,0.9877,0.9997,-0.0050,0.0181,0.8310,1.0000,0.9697,1.0000,-0.0114,0.0379,0.8500,1.0000,1.0000,1.0000,0.0000,0.0114,0.6010,0.0102,0.0011,0.0167,-0.0061,0.0182,0.8370,0.7333,0.8800,0.8689
baseline_cosine,False,0.9998,0.9995,1.0000,-0.0001,0.0063,0.9310,0.9965,0.9907,0.9997,-0.0017,0.0188,0.9270,0.9962,0.9735,1.0000,-0.0076,0.0341,0.8470,1.0000,1.0000,1.0000,0.0000,0.0114,0.6010,0.0072,0.0011,0.0156,-0.0049,0.0186,0.8360,0.7100,0.8933,0.8648
z_persender_cal,False,0.9997,0.9993,1.0000,-0.0001,0.0060,0.9290,0.9945,0.9860,0.9997,-0.0019,0.0131,0.9030,0.9924,0.9735,1.0000,-0.0076,0.0265,0.7690,1.0000,1.0000,1.0000,0.0000,0.0114,0.5990,0.0084,0.0011,0.0186,-0.0061,0.0156,0.7930,0.6733,1.0000,0.8366
z_persender_sigmoid,False,0.9997,0.9993,1.0000,-0.0001,0.0060,0.9280,0.9945,0.9860,0.9997,-0.0019,0.0131,0.9030,0.9924,0.9735,1.0000,-0.0076,0.0265,0.7690,1.0000,1.0000,1.0000,0.0000,0.0114,0.5990,0.0084,0.0011,0.0186,-0.0061,0.0156,0.7930,0.6733,0.8083,0.8366
baseline_linear_z3,True,0.9977,0.9934,0.9999,0.0000,0.0000,0.0000,0.9896,0.9772,0.9983,0.0000,0.0000,0.0000,0.9811,0.9621,0.9962,0.0000,0.0000,0.0000,0.9962,0.9886,1.0000,0.0000,0.0000,0.0000,0.0144,0.0042,0.0251,0.0000,0.0000,0.0000,0.6867,0.8117,0.8384
z_global_cal,False,0.9977,0.9934,0.9999,-0.0000,0.0000,0.5750,0.9896,0.9772,0.9983,0.0000,0.0000,0.2460,0.9811,0.9621,0.9962,0.0000,0.0000,0.0000,0.9962,0.9886,1.0000,0.0000,0.0001,0.2430,0.0144,0.0042,0.0251,0.0000,0.0000,0.0000,0.6867,0.8117,0.8384
mahalanobis,False,0.9986,0.9970,0.9997,-0.0023,0.0057,0.5820,0.9715,0.9413,0.9945,-0.0491,0.0074,0.1100,0.9811,0.8447,1.0000,-0.1364,0.0227,0.3670,1.0000,0.9924,1.0000,-0.0076,0.0114,0.5410,0.0156,0.0042,0.0228,-0.0125,0.0133,0.4800,0.6067,0.8100,0.8621
tier_switch,False,0.9986,0.9970,0.9997,-0.0023,0.0057,0.5820,0.9715,0.9413,0.9945,-0.0491,0.0074,0.1100,0.9811,0.8447,1.0000,-0.1364,0.0227,0.3670,1.0000,0.9924,1.0000,-0.0076,0.0114,0.5410,0.0156,0.0042,0.0228,-0.0125,0.0133,0.4800,0.6067,0.8100,0.8621
ewma_centroid_z3,False,0.9459,0.9240,0.9635,-0.0732,-0.0343,0.0000,0.8860,0.8430,0.9229,-0.1434,-0.0689,0.0000,0.8939,0.8220,0.9247,-0.1629,-0.0568,0.0000,0.8981,0.8557,0.9310,-0.1390,-0.0651,0.0000,0.0587,0.0409,0.0807,-0.0659,-0.0261,0.0000,0.4883,1.0000,0.7844
