scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
z_persender_cal,False,0.9876,0.9787,0.9942,-0.0008,0.0009,0.5530,0.8944,0.8465,0.9354,-0.0116,0.0093,0.4190,0.8561,0.7159,0.9394,-0.0492,0.0682,0.5630,0.9583,0.9242,0.9811,-0.0189,0.0114,0.1400,0.0461,0.0310,0.0639,-0.0109,0.0063,0.2280,0.3450,0.5433,0.8304
z_persender_sigmoid,False,0.9898,0.9830,0.9947,-0.0003,0.0060,0.9320,0.8944,0.8465,0.9354,-0.0116,0.0093,0.4190,0.8561,0.7159,0.9394,-0.0492,0.0682,0.5630,0.9583,0.9242,0.9811,-0.0189,0.0114,0.1400,0.0461,0.0310,0.0639,-0.0109,0.0063,0.2280,0.3450,0.5433,0.8304
baseline_linear_z3,True,0.9875,0.9783,0.9945,0.0000,0.0000,0.0000,0.8955,0.8491,0.9361,0.0000,0.0000,0.0000,0.8523,0.7500,0.9243,0.0000,0.0000,0.0000,0.9621,0.9317,0.9848,0.0000,0.0000,0.0000,0.0461,0.0293,0.0603,0.0000,0.0000,0.0000,0.3117,0.5383,0.8332
z_global_cal,False,0.9879,0.9790,0.9946,0.0000,0.0008,0.9650,0.8955,0.8491,0.9361,0.0000,0.0000,0.0000,0.8523,0.7500,0.9243,0.0000,0.0000,0.0000,0.9621,0.9317,0.9848,0.0000,0.0000,0.0000,0.0461,0.0293,0.0603,0.0000,0.0000,0.0000,0.3117,0.5383,0.8334
baseline_cosine,False,0.9920,0.9867,0.9959,-0.0001,0.0106,0.9690,0.8941,0.8303,0.9400,-0.0434,0.0374,0.4930,0.8371,0.6628,0.9280,-0.1212,0.0909,0.3940,0.9848,0.9658,0.9962,0.0038,0.0455,0.9900,0.0318,0.0222,0.0461,-0.0036,0.0266,0.9150,0.2633,0.5883,0.8633
mahal_blend,False,0.9907,0.9845,0.9952,-0.0015,0.0090,0.8930,0.8758,0.8072,0.9282,-0.0669,0.0206,0.1990,0.7803,0.6477,0.9053,-0.1553,0.0568,0.1790,0.9848,0.9545,0.9962,-0.0038,0.0455,0.9530,0.0400,0.0230,0.0499,-0.0071,0.0239,0.8480,0.1967,0.5417,0.8716
ewma_centroid_z3,False,0.9368,0.9152,0.9551,-0.0696,-0.0338,0.0000,0.7789,0.7085,0.8404,-0.1662,-0.0712,0.0000,0.7159,0.5720,0.8144,-0.2464,-0.0303,0.0040,0.8902,0.8257,0.9213,-0.1289,-0.0417,0.0000,0.0799,0.0598,0.1020,-0.0539,-0.0194,0.0000,0.3100,0.4967,0.7662
mahalanobis,False,0.9802,0.9703,0.9876,-0.0144,-0.0008,0.0170,0.7239,0.6216,0.8131,-0.2575,-0.1009,0.0000,0.5795,0.4129,0.7577,-0.4319,-0.1023,0.0000,0.9205,0.8333,0.9659,-0.1213,0.0001,0.0250,0.0630,0.0452,0.0754,-0.0329,0.0008,0.0300,0.0667,0.3883,0.8725
tier_switch,False,0.9802,0.9703,0.9876,-0.0144,-0.0008,0.0170,0.7239,0.6216,0.8131,-0.2575,-0.1009,0.0000,0.5795,0.4129,0.7577,-0.4319,-0.1023,0.0000,0.9205,0.8333,0.9659,-0.1213,0.0001,0.0250,0.0630,0.0452,0.0754,-0.0329,0.0008,0.0300,0.0667,0.3883,0.8725
