scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.9980,0.9964,0.9992,0.0034,0.0204,0.9990,0.9617,0.9306,0.9846,0.0071,0.0544,0.9900,0.9583,0.8864,0.9848,-0.0076,0.0871,0.9490,0.9962,0.9886,1.0000,0.0038,0.0455,0.9970,0.0195,0.0115,0.0320,0.0008,0.0274,0.9810,0.4217,0.7417,0.9130
mahal_blend,False,0.9975,0.9956,0.9989,0.0029,0.0197,0.9990,0.9510,0.9159,0.9785,-0.0028,0.0423,0.9570,0.9318,0.8826,0.9773,-0.0227,0.0758,0.8480,0.9962,0.9773,1.0000,0.0038,0.0417,0.9900,0.0230,0.0142,0.0373,-0.0017,0.0233,0.9570,0.3933,0.7000,0.9192
baseline_linear_z3,True,0.9873,0.9769,0.9948,0.0000,0.0000,0.0000,0.9298,0.8909,0.9607,0.0000,0.0000,0.0000,0.9053,0.8409,0.9545,0.0000,0.0000,0.0000,0.9735,0.9470,0.9924,0.0000,0.0000,0.0000,0.0392,0.0222,0.0524,0.0000,0.0000,0.0000,0.3733,0.6600,0.8805
z_global_cal,False,0.9872,0.9766,0.9948,-0.0003,-0.0000,0.0040,0.9298,0.8909,0.9607,-0.0000,0.0000,0.0000,0.9053,0.8409,0.9545,0.0000,0.0000,0.0000,0.9735,0.9470,0.9924,-0.0001,0.0000,0.0000,0.0392,0.0222,0.0524,0.0000,0.0000,0.0000,0.3733,0.6600,0.8802
z_persender_cal,False,0.9858,0.9740,0.9936,-0.0071,0.0036,0.2560,0.9093,0.8645,0.9470,-0.0412,-0.0029,0.0110,0.8561,0.7841,0.9318,-0.0947,0.0038,0.0350,0.9697,0.9394,0.9886,-0.0227,0.0076,0.1790,0.0362,0.0266,0.0559,-0.0170,0.0063,0.2280,0.2983,0.6000,0.8795
z_persender_sigmoid,False,0.9919,0.9869,0.9957,-0.0001,0.0106,0.9710,0.9093,0.8645,0.9470,-0.0412,-0.0029,0.0110,0.8561,0.7841,0.9318,-0.0947,0.0038,0.0350,0.9697,0.9394,0.9886,-0.0227,0.0076,0.1790,0.0362,0.0266,0.0559,-0.0170,0.0063,0.2280,0.2983,0.6000,0.8803
ewma_centroid_z3,False,0.9312,0.9085,0.9498,-0.0761,-0.0395,0.0000,0.8409,0.7902,0.8823,-0.1228,-0.0600,0.0000,0.8371,0.7311,0.8870,-0.1477,-0.0265,0.0000,0.8719,0.8302,0.9077,-0.1423,-0.0685,0.0000,0.0746,0.0561,0.0980,-0.0603,-0.0214,0.0000,0.3383,1.0000,0.8379
mahalanobis,False,0.9937,0.9902,0.9965,-0.0006,0.0157,0.9570,0.8899,0.8352,0.9368,-0.0784,-0.0063,0.0090,0.8144,0.7197,0.9432,-0.1742,0.0417,0.1500,0.9659,0.9242,0.9924,-0.0455,0.0152,0.2060,0.0452,0.0310,0.0603,-0.0249,0.0052,0.0840,0.1217,0.4833,0.9239
tier_switch,False,0.9937,0.9902,0.9965,-0.0006,0.0157,0.9570,0.8899,0.8352,0.9368,-0.0784,-0.0063,0.0090,0.8144,0.7197,0.9432,-0.1742,0.0417,0.1500,0.9659,0.9242,0.9924,-0.0455,0.0152,0.2060,0.0452,0.0310,0.0603,-0.0249,0.0052,0.0840,0.1217,0.4833,0.9239
