scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_linear_z3,True,0.9674,0.9510,0.9814,0.0000,0.0000,0.0000,0.8963,0.8552,0.9325,0.0000,0.0000,0.0000,0.8750,0.8030,0.9205,0.0000,0.0000,0.0000,0.9356,0.9015,0.9621,0.0000,0.0000,0.0000,0.0570,0.0381,0.0869,0.0000,0.0000,0.0000,0.0933,0.2983,0.9345
z_global_cal,False,0.9705,0.9535,0.9834,-0.0017,0.0090,0.8720,0.8963,0.8552,0.9325,0.0000,0.0000,0.0000,0.8750,0.8030,0.9205,0.0000,0.0000,0.0000,0.9356,0.9015,0.9621,0.0000,0.0000,0.0000,0.0570,0.0381,0.0869,0.0000,0.0000,0.0000,0.0933,0.2983,0.9351
z_persender_cal,False,0.9708,0.9549,0.9834,-0.0022,0.0102,0.8620,0.8664,0.8154,0.9121,-0.0554,-0.0073,0.0020,0.8636,0.7461,0.9091,-0.0872,0.0379,0.4050,0.9167,0.8788,0.9545,-0.0418,0.0000,0.0160,0.0630,0.0469,0.0869,-0.0186,0.0080,0.2040,0.1250,0.2600,0.9340
z_persender_sigmoid,False,0.9793,0.9683,0.9880,0.0046,0.0205,1.0000,0.8664,0.8154,0.9121,-0.0554,-0.0073,0.0020,0.8636,0.7461,0.9091,-0.0872,0.0379,0.4050,0.9167,0.8788,0.9545,-0.0418,0.0000,0.0160,0.0630,0.0469,0.0869,-0.0186,0.0080,0.2040,0.1250,0.2600,0.9373
baseline_cosine,False,0.9928,0.9889,0.9958,0.0124,0.0403,1.0000,0.8847,0.8345,0.9293,-0.0484,0.0263,0.2690,0.8447,0.7727,0.9130,-0.0833,0.0530,0.3440,0.9508,0.9241,0.9811,-0.0114,0.0492,0.8550,0.0505,0.0310,0.0639,-0.0071,0.0381,0.8770,0.0350,0.2617,0.9660
mahal_blend,False,0.9927,0.9890,0.9958,0.0123,0.0402,1.0000,0.8890,0.8410,0.9312,-0.0434,0.0289,0.3410,0.8447,0.7803,0.9167,-0.0796,0.0568,0.3620,0.9508,0.9242,0.9774,-0.0114,0.0492,0.8590,0.0513,0.0302,0.0647,-0.0074,0.0379,0.8730,0.0383,0.2267,0.9682
ewma_centroid_z3,False,0.9255,0.9036,0.9464,-0.0590,-0.0251,0.0000,0.8332,0.7869,0.8770,-0.0926,-0.0344,0.0000,0.8371,0.7235,0.8793,-0.1364,0.0189,0.0840,0.8607,0.8188,0.9005,-0.1091,-0.0444,0.0000,0.0811,0.0605,0.1034,-0.0417,0.0030,0.0440,0.0733,1.0000,0.8965
mahalanobis,False,0.9896,0.9847,0.9937,0.0098,0.0366,1.0000,0.8749,0.8244,0.9187,-0.0600,0.0155,0.1320,0.8371,0.7651,0.8977,-0.0985,0.0341,0.1650,0.9394,0.9091,0.9697,-0.0265,0.0341,0.5770,0.0542,0.0364,0.0754,-0.0178,0.0302,0.6540,0.0350,0.1600,0.9671
tier_switch,False,0.9896,0.9847,0.9937,0.0098,0.0366,1.0000,0.8749,0.8244,0.9187,-0.0600,0.0155,0.1320,0.8371,0.7651,0.8977,-0.0985,0.0341,0.1650,0.9394,0.9091,0.9697,-0.0265,0.0341,0.5770,0.0542,0.0364,0.0754,-0.0178,0.0302,0.6540,0.0350,0.1600,0.9671
