score_fn,auc_g_syn,auc_g_oth,auc_g_all,tpr@5pct_syn,tpr@1pct_syn,eer_syn,tpr@5pct_oth,tpr@5pct_all,gap_syn,gap_oth,mean_gen,mean_syn,mean_oth
cosine,0.9377,0.7558,0.8467,0.6667,0.4500,0.1433,0.4000,0.4500,0.3468,0.1250,0.5498,0.2031,0.4249
linear_z3,0.9341,0.7598,0.8469,0.6833,0.4583,0.1367,0.4000,0.4417,0.3388,0.1385,0.5419,0.2031,0.4034
linear_z3_median,0.9320,0.7609,0.8465,0.7250,0.4083,0.1592,0.3500,0.4250,0.3419,0.1401,0.5304,0.1884,0.3903
sigmoid_z,0.9341,0.7598,0.8469,0.6833,0.4583,0.1367,0.4000,0.4417,0.2067,0.0914,0.4113,0.2046,0.3199
medoid_cosine,0.8701,0.6621,0.7661,0.4167,0.1667,0.2250,0.3083,0.3167,0.2981,0.0983,0.4245,0.1264,0.3262
mahal_per_sender,0.9313,0.7687,0.8500,0.7000,0.4167,0.1433,0.3583,0.4333,5.9557,2.8691,-16.2002,-22.1559,-19.0693
mahal_tied,0.8688,0.7367,0.8027,0.5250,0.2917,0.2283,0.3583,0.3667,2.7297,1.4790,-12.7784,-15.5081,-14.2575
cosine_snorm,0.9347,0.7513,0.8430,0.7000,0.5167,0.1567,0.4250,0.4833,3.1100,1.0834,1.0615,-2.0485,-0.0219
mahal_tied_snorm,0.8761,0.7433,0.8097,0.5583,0.3167,0.2133,0.3250,0.4250,2.1362,1.1372,1.1328,-1.0035,-0.0045
