scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
mahalanobis,False,0.9488,0.9238,0.9682,-0.0089,0.0248,0.7990,0.5408,0.4216,0.6767,-0.0700,0.1358,0.7700,0.4833,0.3583,0.6417,-0.0667,0.1669,0.7440,0.6917,0.5417,0.8250,-0.1419,0.1500,0.4810,0.1250,0.0908,0.1658,-0.0342,0.0367,0.5470
tier_switch,False,0.9488,0.9238,0.9682,-0.0089,0.0248,0.7990,0.5408,0.4216,0.6767,-0.0700,0.1358,0.7700,0.4833,0.3583,0.6417,-0.0667,0.1669,0.7440,0.6917,0.5417,0.8250,-0.1419,0.1500,0.4810,0.1250,0.0908,0.1658,-0.0342,0.0367,0.5470
mahal_blend,False,0.9413,0.9164,0.9623,-0.0149,0.0139,0.4980,0.4925,0.3858,0.6534,-0.0967,0.0708,0.4940,0.4500,0.3000,0.6000,-0.0917,0.1085,0.4620,0.6917,0.4833,0.8000,-0.2002,0.1000,0.3510,0.1408,0.1042,0.1842,-0.0525,0.0242,0.2070
baseline_linear_z3,True,0.9410,0.9159,0.9648,0.0000,0.0000,0.0000,0.4992,0.3766,0.6675,0.0000,0.0000,0.0000,0.4417,0.2498,0.5919,0.0000,0.0000,0.0000,0.6750,0.4833,0.8250,0.0000,0.0000,0.0000,0.1275,0.0883,0.1683,0.0000,0.0000,0.0000
z_global_cal,False,0.9410,0.9159,0.9648,-0.0000,0.0000,0.1460,0.4992,0.3766,0.6675,0.0000,0.0000,0.0000,0.4417,0.2498,0.5919,0.0000,0.0000,0.0000,0.6750,0.4833,0.8250,0.0000,0.0000,0.0000,0.1275,0.0883,0.1683,0.0000,0.0000,0.0000
baseline_cosine,False,0.9353,0.9092,0.9578,-0.0220,0.0075,0.2120,0.4775,0.3741,0.6219,-0.1159,0.0509,0.3080,0.4250,0.2833,0.5752,-0.1167,0.0833,0.4000,0.6667,0.4583,0.7583,-0.2083,0.0750,0.2120,0.1567,0.1133,0.1908,-0.0567,0.0108,0.0850
z_persender_cal,False,0.9335,0.9065,0.9580,-0.0146,0.0000,0.0260,0.4458,0.3292,0.5900,-0.0975,-0.0283,0.0000,0.3667,0.2500,0.5500,-0.1167,0.0167,0.0490,0.5833,0.4250,0.7500,-0.1833,-0.0083,0.0060,0.1475,0.0983,0.1817,-0.0392,0.0117,0.1450
z_persender_sigmoid,False,0.9335,0.9065,0.9580,-0.0146,0.0000,0.0260,0.4458,0.3292,0.5900,-0.0975,-0.0283,0.0000,0.3667,0.2500,0.5500,-0.1167,0.0167,0.0490,0.5833,0.4250,0.7500,-0.1833,-0.0083,0.0060,0.1475,0.0983,0.1817,-0.0392,0.0117,0.1450
ewma_centroid_z3,False,0.8799,0.8408,0.9168,-0.0901,-0.0369,0.0000,0.2808,0.1900,0.4250,-0.3351,-0.1166,0.0010,0.2583,0.0667,0.3833,-0.3250,-0.1000,0.0020,0.3667,0.2831,0.6417,-0.4333,-0.0583,0.0060,0.1833,0.1342,0.2158,-0.0817,-0.0092,0.0070
