score_fn,auc_g_syn,auc_g_oth,auc_g_all,tpr@5pct_syn,tpr@1pct_syn,eer_syn,tpr@5pct_oth,tpr@5pct_all,gap_syn,gap_oth,mean_gen,mean_syn,mean_oth
cosine,0.8577,0.9556,0.9066,0.6750,0.5333,0.2625,0.7833,0.7167,0.3641,0.5399,0.6061,0.2420,0.0663
linear_z3,0.8740,0.9224,0.8982,0.6750,0.5167,0.2033,0.8083,0.7417,0.3979,0.4860,0.5395,0.1416,0.0534
linear_z3_median,0.8685,0.9015,0.8850,0.7333,0.4750,0.1883,0.8000,0.7667,0.3832,0.4298,0.4535,0.0703,0.0237
sigmoid_z,0.8664,0.9165,0.8914,0.6750,0.5167,0.2033,0.8083,0.7417,0.2516,0.3140,0.4156,0.1640,0.1016
medoid_cosine,0.8095,0.9387,0.8741,0.4583,0.3167,0.2800,0.7500,0.5250,0.3110,0.4779,0.5322,0.2212,0.0543
mahal_per_sender,0.8753,0.9103,0.8928,0.7333,0.5333,0.1767,0.8167,0.7667,8.5351,11.3237,-16.7232,-25.2583,-28.0468
mahal_tied,0.7786,0.9198,0.8492,0.5583,0.3583,0.3000,0.7917,0.6083,3.3518,5.8899,-11.6435,-14.9954,-17.5334
cosine_snorm,0.8319,0.9523,0.8921,0.4500,0.2750,0.2483,0.8250,0.6083,2.2475,3.4048,3.3214,1.0739,-0.0833
mahal_tied_snorm,0.7535,0.9237,0.8386,0.4250,0.3583,0.3367,0.7917,0.5167,2.3209,4.1713,4.0963,1.7754,-0.0750
