scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahal_blend,False,0.9444,0.9259,0.9618,0.0152,0.0420,1.0000,0.5449,0.4100,0.6768,-0.0490,0.1566,0.8670,0.4545,0.1098,0.6289,-0.2689,0.2992,0.6400,0.7348,0.6591,0.8447,-0.0189,0.1553,0.9300,0.1137,0.0921,0.1467,0.0115,0.0595,0.9980,0.0033,0.0100,0.9628
baseline_cosine,False,0.9471,0.9288,0.9639,0.0176,0.0451,1.0000,0.5457,0.4100,0.6840,-0.0565,0.1621,0.8630,0.4432,0.1022,0.6214,-0.2879,0.3259,0.6350,0.7462,0.6629,0.8598,-0.0115,0.1667,0.9440,0.1170,0.0873,0.1400,0.0144,0.0643,0.9980,0.0033,0.0150,0.9609
mahalanobis,False,0.9250,0.9028,0.9449,-0.0059,0.0223,0.8790,0.4830,0.3738,0.6066,-0.0906,0.0849,0.4540,0.3788,0.1553,0.5493,-0.2160,0.1742,0.5120,0.6515,0.5530,0.7462,-0.1136,0.0682,0.2560,0.1405,0.1170,0.1746,-0.0172,0.0312,0.6930,0.0017,0.0033,0.9638
tier_switch,False,0.9250,0.9028,0.9449,-0.0059,0.0223,0.8790,0.4830,0.3738,0.6066,-0.0906,0.0849,0.4540,0.3788,0.1553,0.5493,-0.2160,0.1742,0.5120,0.6515,0.5530,0.7462,-0.1136,0.0682,0.2560,0.1405,0.1170,0.1746,-0.0172,0.0312,0.6930,0.0017,0.0033,0.9638
baseline_linear_z3,True,0.9165,0.8915,0.9384,0.0000,0.0000,0.0000,0.4870,0.3645,0.6097,0.0000,0.0000,0.0000,0.3598,0.1326,0.5304,0.0000,0.0000,0.0000,0.6818,0.5682,0.7689,0.0000,0.0000,0.0000,0.1497,0.1237,0.1842,0.0000,0.0000,0.0000,0.0033,0.0350,0.9178
z_global_cal,False,0.9209,0.8975,0.9416,-0.0005,0.0099,0.9570,0.4870,0.3645,0.6097,0.0000,0.0000,0.0000,0.3598,0.1326,0.5304,0.0000,0.0000,0.0000,0.6818,0.5682,0.7689,0.0000,0.0000,0.0000,0.1497,0.1237,0.1842,0.0000,0.0000,0.0000,0.0033,0.0350,0.9216
ewma_centroid_z3,False,0.8919,0.8641,0.9174,-0.0395,-0.0097,0.0010,0.4037,0.3028,0.5225,-0.1370,-0.0225,0.0050,0.2652,0.1249,0.4924,-0.1742,0.0342,0.1290,0.5455,0.4659,0.7121,-0.2197,-0.0037,0.0210,0.1482,0.1151,0.1765,-0.0187,0.0312,0.7080,0.0050,0.0217,0.8958
z_persender_cal,False,0.9132,0.8873,0.9358,-0.0088,0.0024,0.1170,0.4386,0.3237,0.5611,-0.0806,-0.0150,0.0030,0.2462,0.1023,0.5379,-0.1629,0.0303,0.1400,0.6212,0.5227,0.7424,-0.1288,0.0076,0.0440,0.1449,0.1199,0.1813,-0.0153,0.0220,0.6540,0.0017,0.0267,0.9165
z_persender_sigmoid,False,0.9191,0.8952,0.9396,-0.0040,0.0096,0.8030,0.4386,0.3237,0.5611,-0.0806,-0.0150,0.0030,0.2462,0.1023,0.5379,-0.1629,0.0303,0.1400,0.6212,0.5227,0.7424,-0.1288,0.0076,0.0440,0.1449,0.1199,0.1813,-0.0153,0.0220,0.6540,0.0017,0.0267,0.9219
