scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_linear_z3,True,0.9207,0.8989,0.9427,0.0000,0.0000,0.0000,0.4908,0.3792,0.6100,0.0000,0.0000,0.0000,0.4091,0.1439,0.5606,0.0000,0.0000,0.0000,0.6591,0.5341,0.7576,0.0000,0.0000,0.0000,0.1319,0.1022,0.1597,0.0000,0.0000,0.0000,0.0000,0.0133,0.9353
z_global_cal,False,0.9232,0.9016,0.9447,-0.0006,0.0066,0.9280,0.4908,0.3792,0.6100,0.0000,0.0000,0.0000,0.4091,0.1439,0.5606,0.0000,0.0000,0.0000,0.6591,0.5341,0.7576,0.0000,0.0000,0.0000,0.1319,0.1022,0.1597,0.0000,0.0000,0.0000,0.0000,0.0133,0.9373
baseline_cosine,False,0.9418,0.9246,0.9590,0.0083,0.0338,0.9990,0.4981,0.3810,0.6335,-0.0562,0.0738,0.6290,0.4015,0.0758,0.6136,-0.3106,0.1516,0.3680,0.6667,0.5832,0.7652,-0.0531,0.1098,0.6760,0.1300,0.1022,0.1564,-0.0230,0.0249,0.4890,0.0017,0.0133,0.9651
z_persender_cal,False,0.9169,0.8945,0.9395,-0.0093,0.0028,0.1230,0.4681,0.3495,0.5836,-0.0753,0.0176,0.1370,0.3864,0.2158,0.5038,-0.1516,0.0909,0.2650,0.6364,0.5379,0.7424,-0.0871,0.0606,0.2520,0.1434,0.1137,0.1698,-0.0283,0.0067,0.1000,0.0000,0.0167,0.9326
z_persender_sigmoid,False,0.9211,0.8997,0.9414,-0.0062,0.0071,0.5420,0.4681,0.3495,0.5836,-0.0753,0.0176,0.1370,0.3864,0.2158,0.5038,-0.1516,0.0909,0.2650,0.6364,0.5379,0.7424,-0.0871,0.0606,0.2520,0.1434,0.1137,0.1698,-0.0283,0.0067,0.1000,0.0000,0.0167,0.9364
mahal_blend,False,0.9393,0.9222,0.9569,0.0059,0.0311,0.9980,0.5001,0.3838,0.6184,-0.0568,0.0701,0.6240,0.3826,0.0947,0.6136,-0.2918,0.1327,0.3520,0.6591,0.5871,0.7424,-0.0606,0.0986,0.5580,0.1252,0.1003,0.1564,-0.0201,0.0264,0.5760,0.0017,0.0067,0.9675
ewma_centroid_z3,False,0.9047,0.8810,0.9283,-0.0306,-0.0029,0.0080,0.4761,0.3531,0.6028,-0.0928,0.0522,0.3490,0.3447,0.1136,0.5379,-0.3220,0.1402,0.2210,0.6477,0.5644,0.7689,-0.0795,0.1023,0.4390,0.1449,0.1156,0.1746,-0.0379,0.0115,0.1310,0.0050,0.0350,0.9101
mahalanobis,False,0.9145,0.8933,0.9355,-0.0212,0.0092,0.2340,0.4102,0.3086,0.5212,-0.1600,-0.0040,0.0180,0.2803,0.1590,0.4432,-0.2501,0.0758,0.1470,0.5871,0.4697,0.6630,-0.1629,0.0152,0.0470,0.1631,0.1285,0.1914,-0.0590,0.0000,0.0230,0.0000,0.0050,0.9648
tier_switch,False,0.9145,0.8933,0.9355,-0.0212,0.0092,0.2340,0.4102,0.3086,0.5212,-0.1600,-0.0040,0.0180,0.2803,0.1590,0.4432,-0.2501,0.0758,0.1470,0.5871,0.4697,0.6630,-0.1629,0.0152,0.0470,0.1631,0.1285,0.1914,-0.0590,0.0000,0.0230,0.0000,0.0050,0.9648
