scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.9983,0.9966,0.9995,0.0080,0.0295,1.0000,0.9675,0.9374,0.9907,0.0014,0.0796,0.9790,0.9659,0.8712,0.9924,-0.0644,0.1818,0.8490,0.9962,0.9773,1.0000,0.0105,0.0511,0.9990,0.0182,0.0082,0.0312,-0.0058,0.0170,0.7960,0.1583,0.8200,0.9726
mahal_blend,False,0.9982,0.9964,0.9995,0.0080,0.0294,1.0000,0.9681,0.9389,0.9907,0.0027,0.0807,0.9840,0.9659,0.8750,0.9924,-0.0569,0.1857,0.8490,0.9924,0.9773,1.0000,0.0071,0.0503,0.9990,0.0182,0.0067,0.0312,-0.0054,0.0175,0.8190,0.1733,0.8183,0.9729
mahalanobis,False,0.9961,0.9932,0.9982,0.0063,0.0262,1.0000,0.9382,0.9009,0.9704,-0.0324,0.0561,0.6570,0.9129,0.8561,0.9508,-0.0947,0.1440,0.5550,0.9848,0.9470,0.9962,-0.0158,0.0367,0.8660,0.0379,0.0197,0.0528,-0.0255,0.0045,0.0800,0.0533,0.4450,0.9703
tier_switch,False,0.9961,0.9932,0.9982,0.0063,0.0262,1.0000,0.9382,0.9009,0.9704,-0.0324,0.0561,0.6570,0.9129,0.8561,0.9508,-0.0947,0.1440,0.5550,0.9848,0.9470,0.9962,-0.0158,0.0367,0.8660,0.0379,0.0197,0.0528,-0.0255,0.0045,0.0800,0.0533,0.4450,0.9703
z_persender_cal,False,0.9886,0.9797,0.9959,0.0003,0.0178,0.9770,0.9118,0.8229,0.9763,-0.0623,0.0168,0.2050,0.8939,0.5795,0.9886,-0.2008,0.0417,0.4400,0.9852,0.9703,0.9963,0.0035,0.0365,0.9930,0.0197,0.0105,0.0345,-0.0073,0.0141,0.6890,0.1633,1.0000,0.9461
z_persender_sigmoid,False,0.9950,0.9902,0.9987,0.0054,0.0257,1.0000,0.9136,0.8231,0.9800,-0.0608,0.0212,0.2470,0.8939,0.5795,0.9886,-0.2008,0.0417,0.4400,0.9924,0.9773,1.0000,0.0073,0.0441,0.9990,0.0197,0.0101,0.0345,-0.0077,0.0146,0.6900,0.1633,0.5100,0.9481
ewma_centroid_z3,False,0.9440,0.9240,0.9613,-0.0531,-0.0216,0.0000,0.8764,0.8277,0.9183,-0.0848,-0.0202,0.0000,0.8906,0.7840,0.9246,-0.0977,0.0535,0.5210,0.8950,0.8584,0.9276,-0.1042,-0.0430,0.0000,0.0578,0.0408,0.0782,-0.0501,-0.0173,0.0000,1.0000,1.0000,0.9067
baseline_linear_z3,True,0.9808,0.9682,0.9909,0.0000,0.0000,0.0000,0.9290,0.8773,0.9701,0.0000,0.0000,0.0000,0.8674,0.7651,0.9811,0.0000,0.0000,0.0000,0.9671,0.9417,0.9854,0.0000,0.0000,0.0000,0.0243,0.0128,0.0380,0.0000,0.0000,0.0000,0.1483,1.0000,0.9400
z_global_cal,False,0.9900,0.9812,0.9971,0.0018,0.0186,0.9950,0.9406,0.8867,0.9808,0.0021,0.0269,0.9950,0.8674,0.7651,0.9924,0.0000,0.0226,0.2280,0.9853,0.9701,0.9964,0.0035,0.0365,0.9950,0.0197,0.0086,0.0331,-0.0044,0.0156,0.7520,0.1483,1.0000,0.9452
