scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
z_persender_cal,False,0.9898,0.9806,0.9976,0.0018,0.0184,0.9970,0.9681,0.9448,0.9899,0.0001,0.0302,0.9750,0.9697,0.8788,0.9925,-0.0227,0.0492,0.8050,0.9818,0.9639,0.9964,0.0036,0.0360,0.9920,0.0153,0.0067,0.0264,-0.0015,0.0170,0.9470,0.2883,1.0000,0.9569
z_persender_sigmoid,False,0.9974,0.9944,0.9996,0.0064,0.0283,1.0000,0.9739,0.9502,0.9931,0.0030,0.0387,0.9900,0.9697,0.8788,0.9962,-0.0227,0.0492,0.8060,0.9924,0.9811,1.0000,0.0103,0.0505,0.9990,0.0182,0.0067,0.0264,-0.0031,0.0198,0.8950,0.2883,0.6933,0.9580
z_global_cal,False,0.9860,0.9760,0.9955,-0.0000,0.0130,0.9570,0.9626,0.9382,0.9853,-0.0001,0.0204,0.9570,0.9659,0.8864,0.9887,-0.0001,0.0225,0.5350,0.9744,0.9558,0.9927,-0.0001,0.0252,0.9570,0.0205,0.0086,0.0334,-0.0044,0.0114,0.7240,0.3383,1.0000,0.9511
baseline_linear_z3,True,0.9805,0.9688,0.9921,0.0000,0.0000,0.0000,0.9542,0.9274,0.9791,0.0000,0.0000,0.0000,0.9622,0.8864,0.9849,0.0000,0.0000,0.0000,0.9637,0.9417,0.9855,0.0000,0.0000,0.0000,0.0233,0.0105,0.0366,0.0000,0.0000,0.0000,1.0000,1.0000,0.9492
baseline_cosine,False,0.9986,0.9969,0.9997,0.0071,0.0297,1.0000,0.9728,0.9438,0.9940,-0.0066,0.0412,0.9330,0.9621,0.9279,0.9962,-0.0193,0.0645,0.6840,0.9962,0.9886,1.0000,0.0140,0.0546,1.0000,0.0197,0.0082,0.0331,-0.0092,0.0179,0.6730,0.2033,0.8217,0.9714
mahalanobis,False,0.9981,0.9960,0.9996,0.0069,0.0289,1.0000,0.9717,0.9438,0.9920,-0.0033,0.0381,0.9530,0.9621,0.8636,0.9962,-0.0530,0.0606,0.5170,0.9962,0.9886,1.0000,0.0109,0.0545,1.0000,0.0159,0.0082,0.0360,-0.0106,0.0184,0.6330,0.2000,0.8700,0.9666
mahal_blend,False,0.9985,0.9969,0.9997,0.0071,0.0296,1.0000,0.9735,0.9447,0.9938,-0.0026,0.0410,0.9490,0.9621,0.9318,0.9962,-0.0190,0.0644,0.6740,0.9962,0.9886,1.0000,0.0110,0.0545,1.0000,0.0230,0.0082,0.0345,-0.0098,0.0179,0.6390,0.2133,0.8483,0.9711
tier_switch,False,0.9981,0.9960,0.9996,0.0069,0.0289,1.0000,0.9717,0.9438,0.9920,-0.0033,0.0381,0.9530,0.9621,0.8636,0.9962,-0.0530,0.0606,0.5170,0.9962,0.9886,1.0000,0.0109,0.0545,1.0000,0.0159,0.0082,0.0360,-0.0106,0.0184,0.6330,0.2000,0.8700,0.9666
ewma_centroid_z3,False,0.9167,0.8939,0.9375,-0.0844,-0.0451,0.0000,0.8375,0.7932,0.8781,-0.1564,-0.0803,0.0000,0.8350,0.7900,0.8762,-0.1649,-0.0554,0.0000,0.8417,0.7985,0.8812,-0.1616,-0.0862,0.0000,0.0833,0.0625,0.1061,-0.0809,-0.0402,0.0000,1.0000,1.0000,0.8985
