scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.9977,0.9956,0.9994,0.0129,0.0399,1.0000,0.9611,0.9264,0.9885,0.0053,0.0600,0.9880,0.9470,0.8902,0.9848,-0.0344,0.0833,0.5990,0.9962,0.9848,1.0000,0.0218,0.0727,1.0000,0.0230,0.0115,0.0379,-0.0089,0.0256,0.8330,0.2050,0.8233,0.9625
z_persender_cal,False,0.9771,0.9632,0.9889,-0.0005,0.0125,0.9520,0.9290,0.8746,0.9702,-0.0171,0.0173,0.5680,0.9470,0.8711,0.9735,-0.0455,0.0417,0.5580,0.9594,0.9333,0.9815,-0.0004,0.0248,0.9520,0.0340,0.0197,0.0487,-0.0102,0.0080,0.3500,0.3217,1.0000,0.9274
z_persender_sigmoid,False,0.9934,0.9880,0.9977,0.0104,0.0326,1.0000,0.9319,0.8760,0.9732,-0.0152,0.0235,0.6990,0.9470,0.8711,0.9735,-0.0455,0.0417,0.5600,0.9697,0.9470,0.9886,0.0031,0.0423,0.9870,0.0331,0.0196,0.0542,-0.0147,0.0083,0.3130,0.3217,0.5117,0.9319
baseline_linear_z3,True,0.9722,0.9575,0.9853,0.0000,0.0000,0.0000,0.9274,0.8846,0.9640,0.0000,0.0000,0.0000,0.9432,0.8560,0.9697,0.0000,0.0000,0.0000,0.9490,0.9223,0.9745,0.0000,0.0000,0.0000,0.0323,0.0181,0.0471,0.0000,0.0000,0.0000,0.2867,1.0000,0.9267
z_global_cal,False,0.9814,0.9688,0.9921,0.0018,0.0169,0.9840,0.9409,0.8972,0.9760,0.0024,0.0275,0.9840,0.9432,0.8560,0.9811,0.0000,0.0298,0.4180,0.9670,0.9443,0.9887,0.0035,0.0327,0.9840,0.0258,0.0138,0.0395,-0.0020,0.0160,0.9240,0.2867,1.0000,0.9300
mahal_blend,False,0.9975,0.9952,0.9993,0.0127,0.0395,1.0000,0.9584,0.9219,0.9881,0.0026,0.0588,0.9840,0.9432,0.8901,0.9848,-0.0421,0.0758,0.5410,0.9962,0.9848,1.0000,0.0218,0.0728,0.9990,0.0249,0.0101,0.0379,-0.0098,0.0255,0.8340,0.1633,0.8150,0.9637
mahalanobis,False,0.9952,0.9920,0.9979,0.0104,0.0365,1.0000,0.9212,0.8753,0.9639,-0.0466,0.0291,0.4080,0.8750,0.7764,0.9545,-0.1250,0.0412,0.0790,0.9773,0.9583,0.9962,0.0026,0.0575,0.9850,0.0259,0.0163,0.0475,-0.0175,0.0184,0.5590,0.0767,0.4233,0.9618
tier_switch,False,0.9952,0.9920,0.9979,0.0104,0.0365,1.0000,0.9212,0.8753,0.9639,-0.0466,0.0291,0.4080,0.8750,0.7764,0.9545,-0.1250,0.0412,0.0790,0.9773,0.9583,0.9962,0.0026,0.0575,0.9850,0.0259,0.0163,0.0475,-0.0175,0.0184,0.5590,0.0767,0.4233,0.9618
ewma_centroid_z3,False,0.9120,0.8894,0.9356,-0.0795,-0.0396,0.0000,0.8175,0.7664,0.8670,-0.1477,-0.0732,0.0000,0.8270,0.7712,0.8725,-0.1506,-0.0448,0.0000,0.8340,0.7913,0.8777,-0.1517,-0.0756,0.0000,0.0886,0.0654,0.1113,-0.0766,-0.0357,0.0000,1.0000,1.0000,0.8775
