scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.9266,0.9065,0.9465,-0.0168,0.0089,0.2660,0.4580,0.3498,0.5819,-0.0726,0.0646,0.4580,0.3258,0.1402,0.5303,-0.1402,0.2121,0.5920,0.6515,0.4962,0.7576,-0.1629,0.0948,0.2830,0.1467,0.1233,0.1794,-0.0412,0.0082,0.0790,0.0000,0.0083,0.9648
tier_switch,False,0.9266,0.9065,0.9465,-0.0168,0.0089,0.2660,0.4580,0.3498,0.5819,-0.0726,0.0646,0.4580,0.3258,0.1402,0.5303,-0.1402,0.2121,0.5920,0.6515,0.4962,0.7576,-0.1629,0.0948,0.2830,0.1467,0.1233,0.1794,-0.0412,0.0082,0.0790,0.0000,0.0083,0.9648
baseline_cosine,False,0.9452,0.9265,0.9619,0.0041,0.0265,0.9990,0.4844,0.3577,0.6120,-0.0338,0.0646,0.7460,0.3068,0.0795,0.5947,-0.1212,0.1856,0.5780,0.6553,0.5720,0.7879,-0.1061,0.0758,0.4400,0.1204,0.0955,0.1482,-0.0082,0.0327,0.8710,0.0000,0.0067,0.9683
mahal_blend,False,0.9441,0.9256,0.9612,0.0030,0.0250,0.9970,0.4967,0.3654,0.6282,-0.0214,0.0774,0.8770,0.3030,0.0871,0.6061,-0.1326,0.1818,0.6010,0.6818,0.5871,0.7766,-0.0795,0.0910,0.5500,0.1304,0.1017,0.1549,-0.0153,0.0264,0.6980,0.0000,0.0067,0.9691
ewma_centroid_z3,False,0.8931,0.8660,0.9181,-0.0550,-0.0225,0.0000,0.4629,0.3173,0.6080,-0.0665,0.0562,0.4480,0.2727,0.0417,0.5569,-0.1818,0.1553,0.3340,0.6553,0.5947,0.7955,-0.0795,0.0871,0.5200,0.1405,0.1137,0.1698,-0.0273,0.0117,0.2150,0.0000,0.0267,0.9026
baseline_linear_z3,True,0.9309,0.9082,0.9527,0.0000,0.0000,0.0000,0.4627,0.3409,0.6126,0.0000,0.0000,0.0000,0.2008,0.1022,0.5682,0.0000,0.0000,0.0000,0.6818,0.5378,0.8031,0.0000,0.0000,0.0000,0.1304,0.1069,0.1616,0.0000,0.0000,0.0000,0.0000,0.0217,0.9459
z_global_cal,False,0.9326,0.9112,0.9534,-0.0013,0.0055,0.8550,0.4627,0.3409,0.6126,0.0000,0.0000,0.0000,0.2008,0.1022,0.5682,0.0000,0.0000,0.0000,0.6818,0.5378,0.8031,0.0000,0.0000,0.0000,0.1304,0.1069,0.1616,0.0000,0.0000,0.0000,0.0000,0.0217,0.9467
z_persender_cal,False,0.9311,0.9091,0.9517,-0.0044,0.0052,0.5050,0.4614,0.3316,0.6041,-0.0336,0.0203,0.3630,0.1932,0.0832,0.5682,-0.1554,0.0530,0.4050,0.6629,0.5455,0.8259,-0.0947,0.0493,0.4100,0.1400,0.1118,0.1698,-0.0230,0.0086,0.1640,0.0000,0.0150,0.9478
z_persender_sigmoid,False,0.9324,0.9109,0.9530,-0.0032,0.0070,0.7010,0.4614,0.3316,0.6041,-0.0336,0.0203,0.3630,0.1932,0.0832,0.5682,-0.1554,0.0530,0.4050,0.6629,0.5455,0.8259,-0.0947,0.0493,0.4100,0.1400,0.1118,0.1698,-0.0230,0.0086,0.1640,0.0000,0.0150,0.9488
