scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_linear_z3,True,0.5968,0.5509,0.6397,0.0000,0.0000,0.0000,0.0656,0.0366,0.1016,0.0000,0.0000,0.0000,0.0492,0.0076,0.0871,0.0000,0.0000,0.0000,0.0985,0.0605,0.1477,0.0000,0.0000,0.0000,0.4368,0.3992,0.4787,0.0000,0.0000,0.0000,0.0067,0.0383,0.6446
z_global_cal,False,0.5968,0.5509,0.6394,-0.0005,0.0006,0.4580,0.0656,0.0366,0.1016,0.0000,0.0000,0.0000,0.0492,0.0076,0.0871,0.0000,0.0000,0.0000,0.0985,0.0605,0.1477,0.0000,0.0000,0.0000,0.4368,0.3992,0.4787,0.0000,0.0000,0.0000,0.0067,0.0383,0.6445
ewma_centroid_z3,False,0.6102,0.5653,0.6544,-0.0026,0.0299,0.9380,0.0818,0.0449,0.1247,-0.0189,0.0517,0.8080,0.0455,0.0189,0.0872,-0.0455,0.0418,0.3660,0.1402,0.0871,0.1970,-0.0114,0.0909,0.9280,0.4163,0.3756,0.4551,-0.0034,0.0556,0.9490,0.0133,0.0583,0.6415
z_persender_cal,False,0.5955,0.5505,0.6383,-0.0086,0.0064,0.3660,0.0616,0.0318,0.0992,-0.0158,0.0086,0.2670,0.0455,0.0076,0.0758,-0.0303,0.0114,0.2350,0.1061,0.0567,0.1591,-0.0265,0.0341,0.5380,0.4365,0.3995,0.4787,-0.0221,0.0209,0.4420,0.0017,0.0367,0.6405
z_persender_sigmoid,False,0.5953,0.5505,0.6379,-0.0089,0.0059,0.3580,0.0616,0.0318,0.0992,-0.0158,0.0086,0.2670,0.0455,0.0076,0.0758,-0.0303,0.0114,0.2350,0.1061,0.0567,0.1591,-0.0265,0.0341,0.5380,0.4365,0.3995,0.4787,-0.0221,0.0209,0.4420,0.0017,0.0367,0.6405
mahalanobis,False,0.6144,0.5710,0.6551,-0.0119,0.0480,0.8680,0.0611,0.0355,0.1116,-0.0383,0.0447,0.4870,0.0417,0.0189,0.0720,-0.0492,0.0417,0.3300,0.1364,0.0492,0.2009,-0.0455,0.0947,0.7240,0.3992,0.3622,0.4433,-0.0000,0.0761,0.9710,0.0000,0.0067,0.6685
tier_switch,False,0.6144,0.5710,0.6551,-0.0119,0.0480,0.8680,0.0611,0.0355,0.1116,-0.0383,0.0447,0.4870,0.0417,0.0189,0.0720,-0.0492,0.0417,0.3300,0.1364,0.0492,0.2009,-0.0455,0.0947,0.7240,0.3992,0.3622,0.4433,-0.0000,0.0761,0.9710,0.0000,0.0067,0.6685
baseline_cosine,False,0.5962,0.5534,0.6383,-0.0306,0.0289,0.4740,0.0425,0.0178,0.0729,-0.0529,0.0080,0.0630,0.0189,0.0038,0.0492,-0.0682,0.0227,0.1040,0.0720,0.0417,0.1212,-0.0682,0.0227,0.1320,0.4129,0.3771,0.4536,-0.0122,0.0628,0.8890,0.0000,0.0083,0.6487
mahal_blend,False,0.6021,0.5582,0.6435,-0.0247,0.0343,0.6420,0.0396,0.0170,0.0739,-0.0551,0.0078,0.0610,0.0189,0.0038,0.0530,-0.0682,0.0189,0.1020,0.0758,0.0379,0.1326,-0.0682,0.0303,0.1800,0.4182,0.3756,0.4487,-0.0103,0.0643,0.9190,0.0000,0.0067,0.6572
