scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.9784,0.9680,0.9880,0.0033,0.0269,0.9960,0.6400,0.4970,0.7919,-0.0905,0.0564,0.3200,0.4432,0.2917,0.7235,-0.1364,0.2121,0.4010,0.8939,0.7311,0.9545,-0.1515,0.0492,0.2160,0.0693,0.0475,0.0898,-0.0285,0.0087,0.1490,0.0017,0.0517,0.9724
tier_switch,False,0.9784,0.9680,0.9880,0.0033,0.0269,0.9960,0.6400,0.4970,0.7919,-0.0905,0.0564,0.3200,0.4432,0.2917,0.7235,-0.1364,0.2121,0.4010,0.8939,0.7311,0.9545,-0.1515,0.0492,0.2160,0.0693,0.0475,0.0898,-0.0285,0.0087,0.1490,0.0017,0.0517,0.9724
baseline_cosine,False,0.9797,0.9697,0.9895,0.0052,0.0283,0.9980,0.6438,0.5030,0.8028,-0.0848,0.0605,0.3540,0.4015,0.2841,0.7538,-0.2312,0.2159,0.3650,0.8561,0.7917,0.9697,-0.1250,0.0492,0.3010,0.0662,0.0422,0.0818,-0.0186,0.0137,0.3670,0.0000,0.0367,0.9753
baseline_linear_z3,True,0.9642,0.9496,0.9783,0.0000,0.0000,0.0000,0.6618,0.4984,0.8175,0.0000,0.0000,0.0000,0.3864,0.2954,0.7425,0.0000,0.0000,0.0000,0.9280,0.8030,0.9735,0.0000,0.0000,0.0000,0.0556,0.0392,0.0795,0.0000,0.0000,0.0000,0.0017,0.1800,0.9484
z_global_cal,False,0.9761,0.9645,0.9866,0.0048,0.0218,0.9990,0.6618,0.4984,0.8175,0.0000,0.0000,0.0240,0.3864,0.2954,0.7425,0.0000,0.0000,0.0000,0.9280,0.8030,0.9773,0.0000,0.0000,0.0240,0.0556,0.0392,0.0795,0.0000,0.0000,0.0140,0.0017,0.1800,0.9549
z_persender_cal,False,0.9740,0.9612,0.9857,0.0010,0.0209,0.9900,0.6156,0.4369,0.7995,-0.1012,-0.0042,0.0150,0.3674,0.0985,0.6856,-0.2500,0.0076,0.0430,0.9129,0.8258,0.9735,-0.0417,0.0530,0.5720,0.0559,0.0388,0.0780,-0.0107,0.0133,0.5110,0.0017,0.1167,0.9595
z_persender_sigmoid,False,0.9775,0.9655,0.9883,0.0037,0.0247,1.0000,0.6156,0.4369,0.7995,-0.1012,-0.0042,0.0150,0.3674,0.0985,0.6856,-0.2500,0.0076,0.0430,0.9129,0.8258,0.9735,-0.0417,0.0530,0.5720,0.0559,0.0388,0.0780,-0.0107,0.0133,0.5110,0.0017,0.1167,0.9596
ewma_centroid_z3,False,0.9092,0.8853,0.9306,-0.0745,-0.0375,0.0000,0.6075,0.4403,0.7550,-0.1046,-0.0140,0.0100,0.3523,0.1439,0.7276,-0.2462,0.0530,0.1470,0.8501,0.7461,0.8890,-0.1363,-0.0038,0.0130,0.0956,0.0729,0.1203,-0.0586,-0.0158,0.0010,0.0017,1.0000,0.9025
mahal_blend,False,0.9798,0.9696,0.9892,0.0051,0.0280,0.9980,0.6484,0.5087,0.8064,-0.0798,0.0647,0.3890,0.3485,0.2955,0.7615,-0.2235,0.2386,0.3130,0.8750,0.7955,0.9697,-0.1137,0.0493,0.3000,0.0609,0.0422,0.0814,-0.0190,0.0137,0.3310,0.0000,0.0383,0.9754
