scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahal_blend,False,0.9832,0.9740,0.9907,0.0127,0.0400,1.0000,0.7165,0.5893,0.8347,-0.0626,0.1350,0.7230,0.6174,0.3447,0.7803,-0.1364,0.4129,0.6960,0.8864,0.8144,0.9660,-0.0947,0.0367,0.2520,0.0662,0.0422,0.0845,-0.0240,0.0076,0.1500,0.0033,0.0567,0.9722
baseline_cosine,False,0.9836,0.9745,0.9908,0.0132,0.0403,1.0000,0.7217,0.5974,0.8372,-0.0610,0.1438,0.7550,0.6098,0.3673,0.7652,-0.1439,0.4242,0.7140,0.8977,0.8295,0.9659,-0.0876,0.0417,0.2410,0.0677,0.0441,0.0864,-0.0244,0.0068,0.1220,0.0033,0.0550,0.9718
mahalanobis,False,0.9815,0.9712,0.9895,0.0115,0.0383,1.0000,0.6938,0.5506,0.8241,-0.0728,0.0997,0.6030,0.5644,0.2955,0.7955,-0.1667,0.3636,0.5570,0.9053,0.8030,0.9697,-0.0909,0.0411,0.2950,0.0556,0.0422,0.0811,-0.0205,0.0087,0.2240,0.0000,0.0717,0.9679
tier_switch,False,0.9815,0.9712,0.9895,0.0115,0.0383,1.0000,0.6938,0.5506,0.8241,-0.0728,0.0997,0.6030,0.5644,0.2955,0.7955,-0.1667,0.3636,0.5570,0.9053,0.8030,0.9697,-0.0909,0.0411,0.2950,0.0556,0.0422,0.0811,-0.0205,0.0087,0.2240,0.0000,0.0717,0.9679
baseline_linear_z3,True,0.9573,0.9392,0.9727,0.0000,0.0000,0.0000,0.6878,0.5048,0.8413,0.0000,0.0000,0.0000,0.4811,0.1931,0.8410,0.0000,0.0000,0.0000,0.9394,0.8522,0.9661,0.0000,0.0000,0.0000,0.0544,0.0373,0.0746,0.0000,0.0000,0.0000,0.0000,0.2350,0.9358
z_global_cal,False,0.9623,0.9454,0.9771,-0.0003,0.0123,0.9600,0.6878,0.5048,0.8430,-0.0000,0.0046,0.3650,0.4811,0.1931,0.8410,0.0000,0.0000,0.0000,0.9394,0.8522,0.9735,-0.0003,0.0221,0.3650,0.0559,0.0369,0.0746,-0.0061,0.0079,0.3020,0.0000,0.2350,0.9386
ewma_centroid_z3,False,0.9046,0.8780,0.9283,-0.0728,-0.0352,0.0000,0.6433,0.4736,0.7739,-0.0953,0.0046,0.0340,0.4583,0.0869,0.7765,-0.1932,0.1554,0.3520,0.8367,0.7824,0.8794,-0.1419,-0.0239,0.0020,0.0986,0.0751,0.1240,-0.0659,-0.0218,0.0000,0.0033,1.0000,0.8941
z_persender_cal,False,0.9580,0.9404,0.9734,-0.0042,0.0074,0.5600,0.6400,0.4497,0.8107,-0.0923,-0.0093,0.0060,0.4091,0.2042,0.7578,-0.2538,0.0303,0.3010,0.9356,0.7803,0.9697,-0.0947,0.0186,0.4450,0.0540,0.0388,0.0776,-0.0103,0.0076,0.3160,0.0000,0.2467,0.9375
z_persender_sigmoid,False,0.9685,0.9520,0.9819,0.0019,0.0216,0.9910,0.6400,0.4497,0.8117,-0.0923,-0.0087,0.0060,0.4091,0.2042,0.7578,-0.2538,0.0303,0.3010,0.9356,0.7803,0.9697,-0.0947,0.0188,0.4490,0.0540,0.0388,0.0776,-0.0119,0.0076,0.3100,0.0000,0.2467,0.9398
