scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.6384,0.5933,0.6792,-0.0260,0.0356,0.6130,0.0815,0.0465,0.1330,-0.0007,0.0877,0.9740,0.0530,0.0265,0.0947,-0.0115,0.0796,0.9400,0.1402,0.0758,0.2083,0.0000,0.1212,0.9690,0.3923,0.3535,0.4330,-0.0354,0.0472,0.6520,0.0017,0.0133,0.6946
tier_switch,False,0.6384,0.5933,0.6792,-0.0260,0.0356,0.6130,0.0815,0.0465,0.1330,-0.0007,0.0877,0.9740,0.0530,0.0265,0.0947,-0.0115,0.0796,0.9400,0.1402,0.0758,0.2083,0.0000,0.1212,0.9690,0.3923,0.3535,0.4330,-0.0354,0.0472,0.6520,0.0017,0.0133,0.6946
baseline_cosine,False,0.6267,0.5807,0.6658,-0.0392,0.0235,0.3390,0.0449,0.0176,0.0841,-0.0343,0.0392,0.5380,0.0152,0.0000,0.0492,-0.0492,0.0379,0.5710,0.0947,0.0417,0.1667,-0.0417,0.0758,0.6800,0.4045,0.3672,0.4437,-0.0472,0.0339,0.3950,0.0017,0.0167,0.6829
ewma_centroid_z3,False,0.6301,0.5877,0.6713,-0.0244,0.0154,0.3530,0.0341,0.0116,0.0710,-0.0404,0.0239,0.2830,0.0152,0.0038,0.0379,-0.0455,0.0303,0.6300,0.0795,0.0227,0.1288,-0.0568,0.0455,0.4070,0.4011,0.3638,0.4433,-0.0388,0.0389,0.4650,0.0000,0.0100,0.6846
mahal_blend,False,0.6321,0.5870,0.6725,-0.0327,0.0295,0.4690,0.0456,0.0195,0.0899,-0.0325,0.0444,0.5540,0.0114,0.0000,0.0607,-0.0455,0.0493,0.5710,0.1061,0.0379,0.1742,-0.0417,0.0833,0.6850,0.4030,0.3622,0.4414,-0.0422,0.0407,0.4840,0.0017,0.0150,0.6888
baseline_linear_z3,True,0.6340,0.5911,0.6774,0.0000,0.0000,0.0000,0.0425,0.0196,0.0784,0.0000,0.0000,0.0000,0.0076,0.0000,0.0607,0.0000,0.0000,0.0000,0.0795,0.0417,0.1326,0.0000,0.0000,0.0000,0.3976,0.3604,0.4418,0.0000,0.0000,0.0000,0.0000,0.0117,0.6778
z_global_cal,False,0.6342,0.5916,0.6775,-0.0002,0.0008,0.8480,0.0425,0.0196,0.0784,0.0000,0.0000,0.0000,0.0076,0.0000,0.0607,0.0000,0.0000,0.0000,0.0795,0.0417,0.1326,0.0000,0.0000,0.0000,0.3976,0.3604,0.4418,0.0000,0.0000,0.0000,0.0000,0.0117,0.6779
z_persender_cal,False,0.6254,0.5819,0.6685,-0.0179,-0.0001,0.0250,0.0412,0.0178,0.0752,-0.0210,0.0155,0.4360,0.0076,0.0000,0.0606,-0.0303,0.0417,0.4010,0.0833,0.0379,0.1288,-0.0379,0.0265,0.3880,0.4045,0.3638,0.4433,-0.0270,0.0255,0.4210,0.0000,0.0100,0.6692
z_persender_sigmoid,False,0.6253,0.5814,0.6687,-0.0180,-0.0002,0.0230,0.0412,0.0178,0.0752,-0.0210,0.0155,0.4360,0.0076,0.0000,0.0606,-0.0303,0.0417,0.4010,0.0833,0.0379,0.1288,-0.0379,0.0265,0.3880,0.4045,0.3638,0.4433,-0.0270,0.0255,0.4210,0.0000,0.0100,0.6691
