scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.8877,0.8578,0.9130,0.0147,0.0462,1.0000,0.2664,0.1494,0.4064,-0.0110,0.1755,0.9520,0.1894,0.0038,0.2917,-0.1212,0.1515,0.6020,0.4848,0.2954,0.5758,-0.0001,0.2614,0.9730,0.1792,0.1454,0.2116,0.0000,0.0525,0.9720,0.0000,0.0033,0.9609
mahal_blend,False,0.8842,0.8539,0.9102,0.0107,0.0422,0.9990,0.2551,0.1453,0.3859,-0.0184,0.1613,0.9340,0.1894,0.0038,0.2841,-0.1212,0.1515,0.6030,0.4470,0.2652,0.5644,-0.0417,0.2424,0.9330,0.1792,0.1473,0.2150,-0.0034,0.0541,0.9460,0.0000,0.0033,0.9628
baseline_linear_z3,True,0.8573,0.8230,0.8851,0.0000,0.0000,0.0000,0.1854,0.1151,0.2905,0.0000,0.0000,0.0000,0.1288,0.0492,0.1932,0.0000,0.0000,0.0000,0.3485,0.1893,0.4660,0.0000,0.0000,0.0000,0.2013,0.1709,0.2386,0.0000,0.0000,0.0000,0.0000,0.0033,0.9178
z_global_cal,False,0.8597,0.8260,0.8877,-0.0009,0.0065,0.9110,0.1854,0.1151,0.2905,0.0000,0.0000,0.0000,0.1288,0.0492,0.1932,0.0000,0.0000,0.0000,0.3485,0.1893,0.4660,0.0000,0.0000,0.0000,0.2013,0.1709,0.2386,0.0000,0.0000,0.0000,0.0000,0.0033,0.9216
z_persender_cal,False,0.8513,0.8158,0.8805,-0.0119,-0.0002,0.0220,0.1582,0.1012,0.2389,-0.0673,0.0022,0.0410,0.1098,0.0303,0.1894,-0.0568,0.0265,0.1280,0.2462,0.1705,0.4470,-0.1477,0.0228,0.0800,0.2032,0.1742,0.2420,-0.0221,0.0152,0.3460,0.0000,0.0017,0.9165
z_persender_sigmoid,False,0.8547,0.8195,0.8830,-0.0093,0.0034,0.1940,0.1582,0.1012,0.2389,-0.0673,0.0022,0.0410,0.1098,0.0303,0.1894,-0.0568,0.0265,0.1280,0.2462,0.1705,0.4470,-0.1477,0.0228,0.0800,0.2032,0.1742,0.2420,-0.0221,0.0152,0.3460,0.0000,0.0017,0.9219
mahalanobis,False,0.8618,0.8293,0.8897,-0.0146,0.0231,0.6570,0.2320,0.1471,0.3210,-0.0440,0.1176,0.8660,0.0947,0.0341,0.2955,-0.0910,0.1667,0.4680,0.3712,0.2500,0.4545,-0.1098,0.1515,0.6060,0.2032,0.1693,0.2390,-0.0255,0.0304,0.5170,0.0000,0.0017,0.9638
tier_switch,False,0.8618,0.8293,0.8897,-0.0146,0.0231,0.6570,0.2320,0.1471,0.3210,-0.0440,0.1176,0.8660,0.0947,0.0341,0.2955,-0.0910,0.1667,0.4680,0.3712,0.2500,0.4545,-0.1098,0.1515,0.6060,0.2032,0.1693,0.2390,-0.0255,0.0304,0.5170,0.0000,0.0017,0.9638
ewma_centroid_z3,False,0.8352,0.8022,0.8645,-0.0370,-0.0061,0.0040,0.1427,0.0854,0.2362,-0.1111,0.0114,0.0610,0.0682,0.0341,0.1554,-0.0910,0.0227,0.0600,0.2803,0.1402,0.4130,-0.1818,0.0606,0.1880,0.1945,0.1693,0.2337,-0.0236,0.0304,0.5640,0.0000,0.0050,0.8958
