scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.8461,0.8146,0.8755,-0.0329,0.0065,0.1070,0.3156,0.2520,0.4063,-0.0304,0.1413,0.9060,0.2803,0.2083,0.3523,0.0454,0.2425,0.9920,0.4053,0.3106,0.5568,-0.1819,0.1023,0.2870,0.2317,0.1982,0.2710,-0.0544,0.0103,0.0700,0.0000,0.0000,0.9648
tier_switch,False,0.8461,0.8146,0.8755,-0.0329,0.0065,0.1070,0.3156,0.2520,0.4063,-0.0304,0.1413,0.9060,0.2803,0.2083,0.3523,0.0454,0.2425,0.9920,0.4053,0.3106,0.5568,-0.1819,0.1023,0.2870,0.2317,0.1982,0.2710,-0.0544,0.0103,0.0700,0.0000,0.0000,0.9648
baseline_cosine,False,0.8689,0.8418,0.8958,-0.0064,0.0256,0.8760,0.2882,0.2061,0.3966,-0.0576,0.1028,0.7870,0.2424,0.1212,0.3220,-0.0341,0.1364,0.9110,0.4129,0.2954,0.5683,-0.1781,0.0948,0.3180,0.2047,0.1724,0.2367,-0.0171,0.0358,0.7420,0.0000,0.0000,0.9656
mahal_blend,False,0.8668,0.8375,0.8934,-0.0087,0.0239,0.8240,0.2984,0.2195,0.4077,-0.0433,0.1139,0.8580,0.2348,0.1402,0.3333,-0.0115,0.1478,0.9550,0.4318,0.3105,0.5607,-0.1629,0.1137,0.3740,0.2081,0.1742,0.2386,-0.0186,0.0339,0.7060,0.0000,0.0000,0.9669
ewma_centroid_z3,False,0.8349,0.8024,0.8662,-0.0412,-0.0075,0.0020,0.2928,0.1858,0.4029,-0.0494,0.1034,0.8000,0.1970,0.0341,0.3675,-0.1288,0.1440,0.6590,0.4545,0.3561,0.5721,-0.1212,0.1136,0.4590,0.2268,0.1929,0.2607,-0.0388,0.0103,0.1470,0.0017,0.0083,0.8881
baseline_linear_z3,True,0.8588,0.8268,0.8892,0.0000,0.0000,0.0000,0.2513,0.1516,0.3990,0.0000,0.0000,0.0000,0.1553,0.0379,0.2727,0.0000,0.0000,0.0000,0.4962,0.2955,0.6098,0.0000,0.0000,0.0000,0.2150,0.1811,0.2485,0.0000,0.0000,0.0000,0.0000,0.0067,0.9319
z_global_cal,False,0.8598,0.8273,0.8909,-0.0017,0.0043,0.7160,0.2513,0.1516,0.3990,0.0000,0.0000,0.0000,0.1553,0.0379,0.2727,0.0000,0.0000,0.0000,0.4962,0.2955,0.6098,0.0000,0.0000,0.0000,0.2150,0.1811,0.2485,0.0000,0.0000,0.0000,0.0000,0.0067,0.9344
z_persender_cal,False,0.8488,0.8146,0.8785,-0.0176,-0.0028,0.0040,0.2197,0.1285,0.3282,-0.0928,0.0042,0.0400,0.1174,0.0530,0.2576,-0.0871,0.0341,0.2590,0.3826,0.2500,0.5190,-0.2008,0.0152,0.0550,0.2081,0.1762,0.2485,-0.0240,0.0255,0.5360,0.0000,0.0000,0.9320
z_persender_sigmoid,False,0.8506,0.8174,0.8800,-0.0162,-0.0008,0.0200,0.2197,0.1285,0.3282,-0.0928,0.0042,0.0400,0.1174,0.0530,0.2576,-0.0871,0.0341,0.2590,0.3826,0.2500,0.5190,-0.2008,0.0152,0.0550,0.2081,0.1762,0.2485,-0.0240,0.0255,0.5360,0.0000,0.0000,0.9347
