scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_linear_z3,True,0.9688,0.9538,0.9825,0.0000,0.0000,0.0000,0.7382,0.5695,0.8794,0.0000,0.0000,0.0000,0.6364,0.2311,0.8144,0.0000,0.0000,0.0000,0.9583,0.8257,0.9811,0.0000,0.0000,0.0000,0.0491,0.0319,0.0643,0.0000,0.0000,0.0000,0.0067,0.2650,0.9492
z_global_cal,False,0.9739,0.9601,0.9858,-0.0002,0.0119,0.9480,0.7382,0.5695,0.8812,-0.0000,0.0029,0.2660,0.6364,0.2311,0.8144,0.0000,0.0000,0.0000,0.9583,0.8257,0.9848,-0.0002,0.0148,0.2670,0.0491,0.0304,0.0643,-0.0019,0.0038,0.0740,0.0067,0.2650,0.9511
mahalanobis,False,0.9819,0.9724,0.9903,0.0029,0.0239,0.9960,0.6973,0.5699,0.8330,-0.1097,0.0448,0.1790,0.6023,0.3561,0.7349,-0.1970,0.2235,0.3900,0.9167,0.7802,0.9773,-0.1553,0.0185,0.1410,0.0647,0.0388,0.0830,-0.0308,0.0034,0.0750,0.0050,0.0933,0.9666
tier_switch,False,0.9819,0.9724,0.9903,0.0029,0.0239,0.9960,0.6973,0.5699,0.8330,-0.1097,0.0448,0.1790,0.6023,0.3561,0.7349,-0.1970,0.2235,0.3900,0.9167,0.7802,0.9773,-0.1553,0.0185,0.1410,0.0647,0.0388,0.0830,-0.0308,0.0034,0.0750,0.0050,0.0933,0.9666
mahal_blend,False,0.9830,0.9738,0.9914,0.0038,0.0246,1.0000,0.7045,0.5790,0.8429,-0.0992,0.0465,0.2270,0.5871,0.3371,0.7955,-0.1933,0.2387,0.4700,0.9205,0.7801,0.9773,-0.1553,0.0189,0.1630,0.0540,0.0358,0.0780,-0.0270,0.0053,0.1220,0.0033,0.0717,0.9711
baseline_cosine,False,0.9829,0.9735,0.9912,0.0037,0.0243,1.0000,0.7009,0.5761,0.8417,-0.1057,0.0454,0.2120,0.5795,0.3408,0.7842,-0.2046,0.2348,0.4650,0.9242,0.7878,0.9811,-0.1439,0.0221,0.1810,0.0521,0.0354,0.0795,-0.0270,0.0068,0.1400,0.0033,0.0717,0.9714
z_persender_cal,False,0.9757,0.9626,0.9871,-0.0009,0.0152,0.9570,0.7002,0.5077,0.8609,-0.0913,0.0032,0.0360,0.5379,0.1098,0.7576,-0.2311,0.0455,0.1120,0.9659,0.8066,0.9924,-0.0189,0.0341,0.7500,0.0422,0.0270,0.0628,-0.0087,0.0137,0.6720,0.0033,0.2683,0.9569
z_persender_sigmoid,False,0.9821,0.9708,0.9911,0.0033,0.0231,1.0000,0.7002,0.5077,0.8609,-0.0913,0.0032,0.0360,0.5379,0.1098,0.7576,-0.2311,0.0455,0.1120,0.9659,0.8066,0.9924,-0.0189,0.0341,0.7500,0.0422,0.0270,0.0628,-0.0087,0.0137,0.6720,0.0033,0.2683,0.9580
ewma_centroid_z3,False,0.9076,0.8832,0.9306,-0.0806,-0.0413,0.0000,0.7045,0.5671,0.8125,-0.0919,0.0246,0.1370,0.5189,0.2992,0.8334,-0.1894,0.1061,0.5980,0.8367,0.7917,0.8783,-0.1579,-0.0075,0.0240,0.0986,0.0751,0.1233,-0.0719,-0.0313,0.0000,0.0083,1.0000,0.8985
