scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_linear_z3,True,0.7441,0.7040,0.7833,0.0000,0.0000,0.0000,0.0761,0.0417,0.1343,0.0000,0.0000,0.0000,0.0492,0.0038,0.0985,0.0000,0.0000,0.0000,0.1439,0.0758,0.2500,0.0000,0.0000,0.0000,0.2960,0.2607,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9357
z_global_cal,False,0.7427,0.7026,0.7827,-0.0025,-0.0002,0.0080,0.0761,0.0417,0.1343,0.0000,0.0000,0.0000,0.0492,0.0038,0.0985,0.0000,0.0000,0.0000,0.1439,0.0758,0.2500,0.0000,0.0000,0.0000,0.2960,0.2607,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9351
mahalanobis,False,0.7215,0.6818,0.7606,-0.0490,0.0023,0.0390,0.0627,0.0294,0.1227,-0.0538,0.0226,0.2040,0.0379,0.0114,0.0682,-0.0530,0.0379,0.3940,0.1364,0.0492,0.2462,-0.1061,0.0645,0.3370,0.3250,0.2945,0.3687,-0.0727,0.0034,0.0380,0.0000,0.0000,0.9716
mahal_blend,False,0.7274,0.6880,0.7647,-0.0410,0.0076,0.0860,0.0502,0.0231,0.1035,-0.0689,0.0046,0.0490,0.0379,0.0000,0.0682,-0.0644,0.0303,0.1870,0.0947,0.0455,0.2311,-0.1326,0.0303,0.1180,0.3234,0.2877,0.3619,-0.0613,0.0106,0.0700,0.0000,0.0000,0.9719
tier_switch,False,0.7215,0.6818,0.7606,-0.0490,0.0023,0.0390,0.0627,0.0294,0.1227,-0.0538,0.0226,0.2040,0.0379,0.0114,0.0682,-0.0530,0.0379,0.3940,0.1364,0.0492,0.2462,-0.1061,0.0645,0.3370,0.3250,0.2945,0.3687,-0.0727,0.0034,0.0380,0.0000,0.0000,0.9716
z_persender_cal,False,0.7296,0.6905,0.7689,-0.0223,-0.0066,0.0000,0.0688,0.0320,0.1140,-0.0385,0.0095,0.1540,0.0265,0.0076,0.0795,-0.0568,0.0265,0.3120,0.1288,0.0644,0.1856,-0.0947,0.0341,0.2060,0.2998,0.2607,0.3349,-0.0236,0.0236,0.4570,0.0000,0.0000,0.9359
z_persender_sigmoid,False,0.7298,0.6906,0.7691,-0.0221,-0.0065,0.0000,0.0688,0.0320,0.1140,-0.0385,0.0095,0.1540,0.0265,0.0076,0.0795,-0.0568,0.0265,0.3120,0.1288,0.0644,0.1856,-0.0947,0.0341,0.2060,0.2998,0.2607,0.3349,-0.0236,0.0236,0.4570,0.0000,0.0000,0.9393
baseline_cosine,False,0.7267,0.6869,0.7637,-0.0414,0.0079,0.0820,0.0436,0.0186,0.0942,-0.0738,-0.0014,0.0200,0.0189,0.0000,0.0568,-0.0720,0.0189,0.0960,0.0871,0.0379,0.2159,-0.1402,0.0342,0.0920,0.3162,0.2858,0.3569,-0.0590,0.0114,0.0890,0.0000,0.0000,0.9708
ewma_centroid_z3,False,0.7304,0.6914,0.7703,-0.0315,0.0051,0.0660,0.0568,0.0265,0.1040,-0.0632,0.0198,0.1380,0.0189,0.0038,0.0720,-0.0720,0.0265,0.2010,0.1098,0.0606,0.1894,-0.1251,0.0379,0.1780,0.3048,0.2724,0.3470,-0.0373,0.0168,0.2160,0.0000,0.0017,0.9013
