scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.8543,0.8238,0.8821,-0.0312,0.0075,0.1340,0.2897,0.2146,0.3815,-0.0131,0.1248,0.9460,0.1970,0.1402,0.3447,-0.0492,0.2121,0.9170,0.3939,0.3143,0.4963,-0.0720,0.0985,0.5740,0.2401,0.2013,0.2759,-0.0780,-0.0137,0.0030,0.0000,0.0033,0.9648
tier_switch,False,0.8543,0.8238,0.8821,-0.0312,0.0075,0.1340,0.2897,0.2146,0.3815,-0.0131,0.1248,0.9460,0.1970,0.1402,0.3447,-0.0492,0.2121,0.9170,0.3939,0.3143,0.4963,-0.0720,0.0985,0.5740,0.2401,0.2013,0.2759,-0.0780,-0.0137,0.0030,0.0000,0.0033,0.9648
ewma_centroid_z3,False,0.8502,0.8158,0.8781,-0.0297,-0.0031,0.0090,0.1983,0.1252,0.3027,-0.0987,0.0366,0.1910,0.1439,0.0379,0.2386,-0.1554,0.0985,0.5430,0.3447,0.2083,0.4886,-0.1553,0.0417,0.1490,0.2032,0.1709,0.2401,-0.0441,0.0168,0.1630,0.0000,0.0050,0.9101
mahal_blend,False,0.8772,0.8507,0.9027,-0.0028,0.0256,0.9330,0.2783,0.1929,0.3837,-0.0074,0.1011,0.9490,0.1364,0.0720,0.3598,-0.0492,0.1553,0.7900,0.3902,0.3220,0.5834,-0.0492,0.1402,0.6420,0.2150,0.1777,0.2470,-0.0480,0.0087,0.0990,0.0000,0.0017,0.9675
baseline_linear_z3,True,0.8660,0.8343,0.8940,0.0000,0.0000,0.0000,0.2332,0.1395,0.3463,0.0000,0.0000,0.0000,0.1288,0.0038,0.2842,0.0000,0.0000,0.0000,0.3939,0.2879,0.4886,0.0000,0.0000,0.0000,0.1982,0.1591,0.2249,0.0000,0.0000,0.0000,0.0000,0.0000,0.9353
z_global_cal,False,0.8675,0.8355,0.8951,-0.0006,0.0043,0.8970,0.2332,0.1395,0.3463,0.0000,0.0000,0.0000,0.1288,0.0038,0.2842,0.0000,0.0000,0.0000,0.3939,0.2879,0.4886,0.0000,0.0000,0.0000,0.1982,0.1591,0.2249,0.0000,0.0000,0.0000,0.0000,0.0000,0.9373
baseline_cosine,False,0.8795,0.8525,0.9056,-0.0002,0.0273,0.9730,0.2723,0.1803,0.3877,-0.0141,0.0938,0.9310,0.1061,0.0644,0.3411,-0.0568,0.1326,0.6870,0.4053,0.3258,0.5758,-0.0455,0.1439,0.7460,0.2047,0.1709,0.2382,-0.0407,0.0171,0.2090,0.0000,0.0017,0.9651
z_persender_cal,False,0.8585,0.8263,0.8871,-0.0145,-0.0004,0.0190,0.2270,0.1431,0.3280,-0.0412,0.0264,0.3300,0.0795,0.0076,0.2955,-0.0720,0.1136,0.4830,0.3561,0.2689,0.4394,-0.0986,0.0152,0.0690,0.1945,0.1625,0.2268,-0.0255,0.0202,0.4240,0.0000,0.0000,0.9326
z_persender_sigmoid,False,0.8606,0.8293,0.8890,-0.0127,0.0017,0.0760,0.2270,0.1431,0.3280,-0.0412,0.0264,0.3300,0.0795,0.0076,0.2955,-0.0720,0.1136,0.4830,0.3561,0.2689,0.4394,-0.0986,0.0152,0.0690,0.1945,0.1625,0.2268,-0.0255,0.0202,0.4240,0.0000,0.0000,0.9364
