scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.9767,0.9644,0.9866,0.0038,0.0258,0.9960,0.6547,0.4998,0.7938,-0.0591,0.1605,0.8180,0.5417,0.3825,0.6553,-0.1288,0.3826,0.7450,0.8750,0.6893,0.9395,-0.0912,0.0947,0.4780,0.0761,0.0525,0.0982,-0.0224,0.0118,0.2290,0.0000,0.0283,0.9716
tier_switch,False,0.9767,0.9644,0.9866,0.0038,0.0258,0.9960,0.6547,0.4998,0.7938,-0.0591,0.1605,0.8180,0.5417,0.3825,0.6553,-0.1288,0.3826,0.7450,0.8750,0.6893,0.9395,-0.0912,0.0947,0.4780,0.0761,0.0525,0.0982,-0.0224,0.0118,0.2290,0.0000,0.0283,0.9716
mahal_blend,False,0.9793,0.9669,0.9889,0.0067,0.0283,1.0000,0.6613,0.4948,0.8178,-0.0463,0.1541,0.8920,0.5189,0.2765,0.7803,-0.2010,0.3750,0.7120,0.9053,0.7840,0.9659,-0.0493,0.1212,0.8000,0.0575,0.0407,0.0841,-0.0103,0.0267,0.7850,0.0000,0.0500,0.9728
baseline_cosine,False,0.9794,0.9675,0.9890,0.0066,0.0285,1.0000,0.6594,0.4956,0.8153,-0.0485,0.1470,0.8850,0.5000,0.2537,0.7992,-0.2386,0.3599,0.6830,0.8902,0.7841,0.9659,-0.0417,0.1136,0.7800,0.0609,0.0422,0.0845,-0.0099,0.0240,0.7760,0.0000,0.0450,0.9720
baseline_linear_z3,True,0.9619,0.9443,0.9775,0.0000,0.0000,0.0000,0.6016,0.4236,0.7753,0.0000,0.0000,0.0000,0.4242,0.1402,0.7311,0.0000,0.0000,0.0000,0.8864,0.7538,0.9545,0.0000,0.0000,0.0000,0.0730,0.0476,0.0929,0.0000,0.0000,0.0000,0.0033,0.1650,0.9346
z_global_cal,False,0.9702,0.9543,0.9832,0.0015,0.0154,0.9850,0.6016,0.4236,0.7753,0.0000,0.0000,0.0050,0.4242,0.1402,0.7311,0.0000,0.0000,0.0000,0.8864,0.7538,0.9545,0.0000,0.0000,0.0050,0.0730,0.0476,0.0929,0.0000,0.0000,0.0030,0.0033,0.1650,0.9398
ewma_centroid_z3,False,0.9183,0.8931,0.9404,-0.0610,-0.0281,0.0000,0.5886,0.3813,0.7572,-0.0750,0.0293,0.2640,0.3447,0.1288,0.6137,-0.1630,0.0909,0.2780,0.8714,0.7991,0.9091,-0.0833,0.0758,0.4020,0.0889,0.0669,0.1139,-0.0404,0.0001,0.0260,0.0067,1.0000,0.8960
z_persender_cal,False,0.9653,0.9477,0.9798,-0.0034,0.0114,0.8130,0.5482,0.3326,0.7397,-0.1218,-0.0068,0.0120,0.2538,0.0606,0.6742,-0.3220,0.0266,0.1260,0.8674,0.7500,0.9508,-0.0720,0.0455,0.3270,0.0712,0.0502,0.0933,-0.0152,0.0118,0.3550,0.0017,0.1550,0.9383
z_persender_sigmoid,False,0.9723,0.9563,0.9841,0.0014,0.0204,0.9870,0.5482,0.3326,0.7397,-0.1218,-0.0068,0.0120,0.2538,0.0606,0.6742,-0.3220,0.0266,0.1260,0.8674,0.7500,0.9508,-0.0720,0.0455,0.3270,0.0712,0.0502,0.0933,-0.0152,0.0118,0.3550,0.0017,0.1550,0.9414
