scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_linear_z3,True,0.8976,0.8717,0.9225,0.0000,0.0000,0.0000,0.2913,0.1721,0.4600,0.0000,0.0000,0.0000,0.1629,0.0492,0.2806,0.0000,0.0000,0.0000,0.5568,0.3598,0.6894,0.0000,0.0000,0.0000,0.1659,0.1336,0.1945,0.0000,0.0000,0.0000,0.0000,0.0067,0.9382
z_global_cal,False,0.8973,0.8717,0.9220,-0.0017,0.0014,0.3420,0.2913,0.1721,0.4600,0.0000,0.0000,0.0000,0.1629,0.0492,0.2806,0.0000,0.0000,0.0000,0.5568,0.3598,0.6894,0.0000,0.0000,0.0000,0.1659,0.1336,0.1945,0.0000,0.0000,0.0000,0.0000,0.0067,0.9387
z_persender_cal,False,0.8912,0.8637,0.9172,-0.0116,-0.0015,0.0040,0.2693,0.1605,0.4315,-0.0745,0.0212,0.1630,0.1439,0.0682,0.2955,-0.1174,0.0568,0.4240,0.5227,0.2765,0.6895,-0.1439,0.0871,0.3160,0.1644,0.1373,0.2047,-0.0251,0.0122,0.2590,0.0000,0.0033,0.9362
z_persender_sigmoid,False,0.8918,0.8639,0.9174,-0.0115,-0.0004,0.0170,0.2693,0.1605,0.4315,-0.0745,0.0212,0.1630,0.1439,0.0682,0.2955,-0.1174,0.0568,0.4240,0.5227,0.2765,0.6895,-0.1439,0.0871,0.3160,0.1644,0.1373,0.2047,-0.0251,0.0122,0.2590,0.0000,0.0033,0.9380
mahalanobis,False,0.8998,0.8742,0.9233,-0.0130,0.0170,0.5980,0.3068,0.1854,0.4467,-0.0865,0.0929,0.5920,0.1364,0.0644,0.3864,-0.0985,0.1743,0.3920,0.5227,0.3712,0.6591,-0.1780,0.1402,0.3850,0.1659,0.1339,0.1963,-0.0304,0.0251,0.4250,0.0000,0.0000,0.9695
tier_switch,False,0.8998,0.8742,0.9233,-0.0130,0.0170,0.5980,0.3068,0.1854,0.4467,-0.0865,0.0929,0.5920,0.1364,0.0644,0.3864,-0.0985,0.1743,0.3920,0.5227,0.3712,0.6591,-0.1780,0.1402,0.3850,0.1659,0.1339,0.1963,-0.0304,0.0251,0.4250,0.0000,0.0000,0.9695
ewma_centroid_z3,False,0.8850,0.8571,0.9098,-0.0260,0.0011,0.0330,0.2919,0.1699,0.4458,-0.0607,0.0465,0.4720,0.1212,0.0568,0.3258,-0.1213,0.1174,0.5180,0.5076,0.2917,0.6629,-0.1439,0.0985,0.3370,0.1827,0.1473,0.2097,-0.0411,0.0084,0.0930,0.0017,0.0400,0.9012
baseline_cosine,False,0.9132,0.8882,0.9355,0.0025,0.0300,0.9900,0.2927,0.1643,0.4638,-0.0778,0.0860,0.5190,0.0985,0.0265,0.3902,-0.1629,0.1515,0.2830,0.5038,0.3788,0.7235,-0.1592,0.1668,0.5550,0.1556,0.1252,0.1861,-0.0171,0.0339,0.7070,0.0000,0.0000,0.9718
mahal_blend,False,0.9122,0.8875,0.9342,0.0015,0.0287,0.9840,0.3064,0.1647,0.4693,-0.0728,0.0951,0.6080,0.0795,0.0341,0.4015,-0.1629,0.1516,0.2560,0.5379,0.4014,0.6895,-0.1288,0.1667,0.6110,0.1438,0.1202,0.1811,-0.0137,0.0407,0.8120,0.0000,0.0000,0.9727
