scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.5959,0.5494,0.6413,-0.0137,0.0446,0.8380,0.1005,0.0661,0.1472,0.0163,0.1003,0.9960,0.0682,0.0417,0.1212,0.0227,0.1061,0.9950,0.1477,0.0947,0.2008,-0.0076,0.1098,0.9450,0.4315,0.3809,0.4669,-0.0190,0.0609,0.8150,0.0017,0.0117,0.6546
tier_switch,False,0.5959,0.5494,0.6413,-0.0137,0.0446,0.8380,0.1005,0.0661,0.1472,0.0163,0.1003,0.9960,0.0682,0.0417,0.1212,0.0227,0.1061,0.9950,0.1477,0.0947,0.2008,-0.0076,0.1098,0.9450,0.4315,0.3809,0.4669,-0.0190,0.0609,0.8150,0.0017,0.0117,0.6546
mahal_blend,False,0.5874,0.5401,0.6326,-0.0206,0.0347,0.6700,0.0671,0.0361,0.1040,-0.0120,0.0618,0.8930,0.0417,0.0114,0.0795,-0.0076,0.0644,0.8970,0.1023,0.0682,0.1591,-0.0417,0.0682,0.6600,0.4315,0.3927,0.4772,-0.0305,0.0491,0.6480,0.0000,0.0117,0.6462
baseline_cosine,False,0.5815,0.5342,0.6267,-0.0272,0.0294,0.5030,0.0583,0.0294,0.0917,-0.0216,0.0520,0.7770,0.0341,0.0038,0.0720,-0.0227,0.0530,0.7360,0.0947,0.0606,0.1402,-0.0492,0.0606,0.5040,0.4418,0.3976,0.4806,-0.0304,0.0438,0.6050,0.0000,0.0117,0.6396
ewma_centroid_z3,False,0.5735,0.5266,0.6185,-0.0259,0.0100,0.2110,0.0458,0.0232,0.0851,-0.0275,0.0312,0.6310,0.0227,0.0038,0.0682,-0.0152,0.0492,0.7170,0.0833,0.0417,0.1553,-0.0568,0.0492,0.3440,0.4536,0.4144,0.4973,-0.0438,0.0190,0.2210,0.0017,0.0217,0.6472
z_persender_cal,False,0.5710,0.5250,0.6162,-0.0228,0.0008,0.0380,0.0312,0.0130,0.0672,-0.0328,0.0076,0.1740,0.0189,0.0000,0.0455,-0.0189,0.0227,0.5200,0.0833,0.0227,0.1326,-0.0721,0.0189,0.1450,0.4551,0.4113,0.4924,-0.0335,0.0168,0.2550,0.0033,0.0350,0.6281
z_persender_sigmoid,False,0.5714,0.5252,0.6163,-0.0224,0.0011,0.0460,0.0312,0.0130,0.0672,-0.0328,0.0076,0.1740,0.0189,0.0000,0.0455,-0.0189,0.0227,0.5200,0.0833,0.0227,0.1326,-0.0721,0.0189,0.1450,0.4551,0.4113,0.4924,-0.0335,0.0168,0.2550,0.0033,0.0350,0.6285
baseline_linear_z3,True,0.5814,0.5379,0.6251,0.0000,0.0000,0.0000,0.0430,0.0157,0.0818,0.0000,0.0000,0.0000,0.0152,0.0000,0.0492,0.0000,0.0000,0.0000,0.0947,0.0455,0.1477,0.0000,0.0000,0.0000,0.4433,0.4026,0.4856,0.0000,0.0000,0.0000,0.0033,0.0250,0.6401
z_global_cal,False,0.5818,0.5378,0.6259,-0.0003,0.0012,0.8490,0.0430,0.0157,0.0818,0.0000,0.0000,0.0000,0.0152,0.0000,0.0492,0.0000,0.0000,0.0000,0.0947,0.0455,0.1477,0.0000,0.0000,0.0000,0.4433,0.4026,0.4856,0.0000,0.0000,0.0000,0.0033,0.0250,0.6405
