scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_linear_z3,True,0.8752,0.8443,0.9018,0.0000,0.0000,0.0000,0.4199,0.3200,0.5327,0.0000,0.0000,0.0000,0.3826,0.3027,0.4621,0.0000,0.0000,0.0000,0.5568,0.4317,0.6742,0.0000,0.0000,0.0000,0.2131,0.1743,0.2401,0.0000,0.0000,0.0000,0.0000,0.0083,0.9352
z_global_cal,False,0.8773,0.8483,0.9034,-0.0009,0.0064,0.8850,0.4199,0.3200,0.5327,0.0000,0.0000,0.0000,0.3826,0.3027,0.4621,0.0000,0.0000,0.0000,0.5568,0.4317,0.6742,0.0000,0.0000,0.0000,0.2131,0.1743,0.2401,0.0000,0.0000,0.0000,0.0000,0.0083,0.9386
z_persender_cal,False,0.8704,0.8404,0.8962,-0.0125,0.0028,0.1150,0.3610,0.2639,0.4748,-0.1053,-0.0156,0.0060,0.3068,0.1780,0.4015,-0.1894,-0.0038,0.0150,0.4886,0.3826,0.6364,-0.1288,0.0304,0.1080,0.2249,0.1895,0.2572,-0.0320,0.0050,0.0670,0.0000,0.0000,0.9417
z_persender_sigmoid,False,0.8715,0.8426,0.8973,-0.0119,0.0044,0.1930,0.3610,0.2639,0.4748,-0.1053,-0.0156,0.0060,0.3068,0.1780,0.4015,-0.1894,-0.0038,0.0150,0.4886,0.3826,0.6364,-0.1288,0.0304,0.1080,0.2249,0.1895,0.2572,-0.0320,0.0050,0.0670,0.0000,0.0000,0.9443
mahalanobis,False,0.8963,0.8684,0.9201,0.0038,0.0392,0.9900,0.4393,0.3352,0.5507,-0.0735,0.0985,0.6820,0.2917,0.2159,0.5152,-0.1780,0.1515,0.1710,0.6098,0.5038,0.6818,-0.0606,0.1591,0.7810,0.1845,0.1556,0.2184,-0.0068,0.0544,0.9150,0.0000,0.0000,0.9738
tier_switch,False,0.8963,0.8684,0.9201,0.0038,0.0392,0.9900,0.4393,0.3352,0.5507,-0.0735,0.0985,0.6820,0.2917,0.2159,0.5152,-0.1780,0.1515,0.1710,0.6098,0.5038,0.6818,-0.0606,0.1591,0.7810,0.1845,0.1556,0.2184,-0.0068,0.0544,0.9150,0.0000,0.0000,0.9738
ewma_centroid_z3,False,0.8538,0.8224,0.8844,-0.0366,-0.0052,0.0050,0.4096,0.2945,0.5242,-0.0758,0.0523,0.3580,0.2879,0.1438,0.4433,-0.2348,0.0493,0.0870,0.5758,0.4508,0.6780,-0.0720,0.1061,0.6260,0.2131,0.1761,0.2470,-0.0274,0.0190,0.3540,0.0017,0.0200,0.8956
mahal_blend,False,0.8999,0.8745,0.9231,0.0093,0.0409,1.0000,0.4372,0.3111,0.5545,-0.0725,0.0963,0.6570,0.2273,0.1288,0.5417,-0.2500,0.1326,0.1750,0.6061,0.5303,0.6780,-0.0530,0.1515,0.8130,0.1811,0.1492,0.2135,-0.0034,0.0575,0.9590,0.0000,0.0000,0.9743
baseline_cosine,False,0.8977,0.8721,0.9208,0.0069,0.0384,0.9980,0.4159,0.2902,0.5332,-0.0967,0.0793,0.4470,0.1932,0.1061,0.5001,-0.2689,0.0948,0.1740,0.5871,0.5038,0.6629,-0.0683,0.1364,0.7200,0.1861,0.1522,0.2165,-0.0053,0.0575,0.9420,0.0000,0.0000,0.9722
