scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.6887,0.6445,0.7315,-0.0368,0.0198,0.2950,0.0437,0.0191,0.0918,-0.0330,0.0494,0.5980,0.0265,0.0114,0.0492,-0.0303,0.0342,0.5920,0.0947,0.0340,0.1894,-0.0644,0.1023,0.6380,0.3672,0.3284,0.4094,-0.0594,0.0122,0.0860,0.0000,0.0000,0.9644
tier_switch,False,0.6887,0.6445,0.7315,-0.0368,0.0198,0.2950,0.0437,0.0191,0.0918,-0.0330,0.0494,0.5980,0.0265,0.0114,0.0492,-0.0303,0.0342,0.5920,0.0947,0.0340,0.1894,-0.0644,0.1023,0.6380,0.3672,0.3284,0.4094,-0.0594,0.0122,0.0860,0.0000,0.0000,0.9644
ewma_centroid_z3,False,0.6875,0.6417,0.7299,-0.0288,0.0117,0.1980,0.0444,0.0194,0.0890,-0.0236,0.0351,0.6500,0.0227,0.0076,0.0568,-0.0265,0.0341,0.5740,0.0947,0.0341,0.1705,-0.0455,0.0682,0.6210,0.3417,0.3044,0.3839,-0.0289,0.0301,0.4730,0.0000,0.0000,0.8901
z_persender_cal,False,0.6868,0.6436,0.7281,-0.0184,-0.0014,0.0100,0.0408,0.0191,0.0811,-0.0082,0.0100,0.6060,0.0227,0.0076,0.0530,-0.0114,0.0189,0.5550,0.0758,0.0341,0.1439,-0.0341,0.0303,0.2880,0.3448,0.3132,0.3908,-0.0308,0.0106,0.1630,0.0000,0.0000,0.9258
z_persender_sigmoid,False,0.6878,0.6447,0.7287,-0.0173,-0.0003,0.0210,0.0408,0.0191,0.0811,-0.0082,0.0100,0.6060,0.0227,0.0076,0.0530,-0.0114,0.0189,0.5550,0.0758,0.0341,0.1439,-0.0341,0.0303,0.2880,0.3448,0.3132,0.3908,-0.0308,0.0106,0.1630,0.0000,0.0000,0.9298
baseline_linear_z3,True,0.6963,0.6541,0.7367,0.0000,0.0000,0.0000,0.0402,0.0180,0.0846,0.0000,0.0000,0.0000,0.0152,0.0000,0.0568,0.0000,0.0000,0.0000,0.0795,0.0379,0.1439,0.0000,0.0000,0.0000,0.3402,0.3048,0.3809,0.0000,0.0000,0.0000,0.0000,0.0000,0.9252
z_global_cal,False,0.6982,0.6556,0.7385,0.0003,0.0039,0.9890,0.0402,0.0180,0.0846,0.0000,0.0000,0.0000,0.0152,0.0000,0.0568,0.0000,0.0000,0.0000,0.0795,0.0379,0.1439,0.0000,0.0000,0.0000,0.3402,0.3048,0.3809,0.0000,0.0000,0.0000,0.0000,0.0000,0.9326
baseline_cosine,False,0.6919,0.6483,0.7350,-0.0303,0.0232,0.3660,0.0194,0.0034,0.0621,-0.0547,0.0168,0.1360,0.0038,0.0000,0.0227,-0.0492,0.0076,0.0660,0.0530,0.0152,0.1668,-0.0909,0.0645,0.3050,0.3756,0.3349,0.4129,-0.0628,0.0053,0.0380,0.0000,0.0000,0.9610
mahal_blend,False,0.6926,0.6493,0.7362,-0.0298,0.0234,0.3830,0.0186,0.0032,0.0680,-0.0542,0.0184,0.1430,0.0038,0.0000,0.0189,-0.0492,0.0076,0.0610,0.0568,0.0114,0.1818,-0.0909,0.0795,0.3820,0.3740,0.3314,0.4110,-0.0628,0.0087,0.0650,0.0000,0.0000,0.9627
