scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.6383,0.5937,0.6828,-0.0439,0.0183,0.2070,0.0591,0.0315,0.0933,-0.0153,0.0525,0.8760,0.0417,0.0189,0.0720,-0.0227,0.0455,0.7260,0.0985,0.0492,0.1364,-0.0455,0.0759,0.7810,0.4190,0.3706,0.4570,-0.0913,0.0031,0.0350,0.0000,0.0000,0.9842
tier_switch,False,0.6383,0.5937,0.6828,-0.0439,0.0183,0.2070,0.0591,0.0315,0.0933,-0.0153,0.0525,0.8760,0.0417,0.0189,0.0720,-0.0227,0.0455,0.7260,0.0985,0.0492,0.1364,-0.0455,0.0759,0.7810,0.4190,0.3706,0.4570,-0.0913,0.0031,0.0350,0.0000,0.0000,0.9842
baseline_linear_z3,True,0.6505,0.6052,0.6936,0.0000,0.0000,0.0000,0.0391,0.0164,0.0722,0.0000,0.0000,0.0000,0.0303,0.0076,0.0568,0.0000,0.0000,0.0000,0.0606,0.0265,0.1402,0.0000,0.0000,0.0000,0.3706,0.3299,0.4163,0.0000,0.0000,0.0000,0.0000,0.0000,0.9482
z_global_cal,False,0.6532,0.6081,0.6961,0.0010,0.0048,1.0000,0.0391,0.0164,0.0722,0.0000,0.0000,0.0000,0.0303,0.0076,0.0568,0.0000,0.0000,0.0000,0.0606,0.0265,0.1402,0.0000,0.0000,0.0000,0.3706,0.3299,0.4163,0.0000,0.0000,0.0000,0.0000,0.0000,0.9624
z_persender_cal,False,0.6404,0.5965,0.6847,-0.0210,0.0006,0.0290,0.0445,0.0190,0.0765,-0.0048,0.0131,0.8360,0.0303,0.0076,0.0568,-0.0152,0.0152,0.3600,0.0758,0.0341,0.1098,-0.0455,0.0379,0.6460,0.4094,0.3638,0.4433,-0.0559,-0.0034,0.0120,0.0000,0.0000,0.9615
z_persender_sigmoid,False,0.6403,0.5965,0.6848,-0.0212,0.0005,0.0280,0.0445,0.0190,0.0765,-0.0048,0.0131,0.8360,0.0303,0.0076,0.0568,-0.0152,0.0152,0.3600,0.0758,0.0341,0.1098,-0.0455,0.0379,0.6460,0.4094,0.3638,0.4433,-0.0559,-0.0034,0.0120,0.0000,0.0000,0.9617
ewma_centroid_z3,False,0.6456,0.6009,0.6878,-0.0213,0.0117,0.2880,0.0616,0.0334,0.0989,-0.0029,0.0477,0.9570,0.0227,0.0038,0.0909,-0.0265,0.0493,0.5300,0.0947,0.0568,0.1439,-0.0227,0.0682,0.8580,0.3790,0.3402,0.4231,-0.0407,0.0224,0.2950,0.0000,0.0000,0.9186
baseline_cosine,False,0.6349,0.5898,0.6800,-0.0483,0.0172,0.1640,0.0326,0.0135,0.0651,-0.0366,0.0231,0.3310,0.0189,0.0000,0.0455,-0.0492,0.0189,0.2040,0.0606,0.0265,0.1136,-0.0758,0.0530,0.4410,0.4030,0.3683,0.4487,-0.0780,0.0034,0.0370,0.0000,0.0000,0.9865
mahal_blend,False,0.6370,0.5917,0.6831,-0.0462,0.0195,0.1930,0.0325,0.0134,0.0670,-0.0357,0.0247,0.3410,0.0152,0.0000,0.0455,-0.0492,0.0189,0.1690,0.0682,0.0265,0.1250,-0.0758,0.0606,0.4720,0.4148,0.3706,0.4501,-0.0830,0.0015,0.0270,0.0000,0.0000,0.9865
