scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
ewma_centroid_z3,False,0.9421,0.9225,0.9603,-0.0416,-0.0150,0.0000,0.7910,0.6769,0.8747,-0.0442,0.0436,0.4360,0.6894,0.4167,0.8940,-0.0758,0.1554,0.6540,0.9001,0.8631,0.9334,-0.0832,-0.0151,0.0040,0.0649,0.0456,0.0850,-0.0333,-0.0018,0.0130,0.0383,1.0000,0.9198
baseline_linear_z3,True,0.9698,0.9551,0.9821,0.0000,0.0000,0.0000,0.7926,0.6479,0.9066,0.0000,0.0000,0.0000,0.6250,0.3030,0.9167,0.0000,0.0000,0.0000,0.9545,0.9091,0.9774,0.0000,0.0000,0.0000,0.0457,0.0304,0.0654,0.0000,0.0000,0.0000,0.0167,0.2600,0.9472
z_global_cal,False,0.9749,0.9615,0.9863,-0.0001,0.0120,0.9520,0.7926,0.6479,0.9077,-0.0000,0.0031,0.2440,0.6250,0.3030,0.9167,0.0000,0.0000,0.0000,0.9545,0.9091,0.9816,-0.0004,0.0149,0.2450,0.0457,0.0304,0.0658,-0.0046,0.0026,0.0740,0.0167,0.2600,0.9493
z_persender_cal,False,0.9705,0.9555,0.9831,-0.0021,0.0047,0.6160,0.7765,0.6274,0.8949,-0.0380,0.0032,0.0640,0.5947,0.2878,0.9091,-0.1099,0.0568,0.3380,0.9394,0.8939,0.9775,-0.0379,0.0114,0.2300,0.0525,0.0354,0.0727,-0.0171,0.0026,0.1040,0.0100,0.1800,0.9497
z_persender_sigmoid,False,0.9854,0.9760,0.9928,0.0066,0.0250,1.0000,0.7765,0.6274,0.8949,-0.0380,0.0039,0.0730,0.5947,0.2878,0.9091,-0.1099,0.0568,0.3380,0.9394,0.8939,0.9886,-0.0379,0.0257,0.2970,0.0525,0.0354,0.0727,-0.0171,0.0038,0.1240,0.0100,0.1800,0.9553
mahalanobis,False,0.9821,0.9726,0.9900,0.0021,0.0229,0.9900,0.7166,0.5734,0.8449,-0.1652,-0.0031,0.0190,0.5644,0.3750,0.7576,-0.4053,0.1326,0.2400,0.9318,0.7799,0.9735,-0.1293,0.0146,0.1250,0.0628,0.0388,0.0811,-0.0285,0.0053,0.0920,0.0017,0.0917,0.9670
mahal_blend,False,0.9834,0.9744,0.9908,0.0034,0.0243,0.9960,0.7351,0.6009,0.8544,-0.1331,0.0094,0.0510,0.5644,0.4279,0.7424,-0.2463,0.1515,0.2940,0.9318,0.8026,0.9773,-0.1295,0.0218,0.2360,0.0506,0.0354,0.0742,-0.0221,0.0076,0.1880,0.0017,0.0817,0.9692
tier_switch,False,0.9821,0.9726,0.9900,0.0021,0.0229,0.9900,0.7166,0.5734,0.8449,-0.1652,-0.0031,0.0190,0.5644,0.3750,0.7576,-0.4053,0.1326,0.2400,0.9318,0.7799,0.9735,-0.1293,0.0146,0.1250,0.0628,0.0388,0.0811,-0.0285,0.0053,0.0920,0.0017,0.0917,0.9670
baseline_cosine,False,0.9833,0.9741,0.9908,0.0035,0.0241,0.9980,0.7385,0.6035,0.8540,-0.1296,0.0149,0.0640,0.5606,0.4280,0.7425,-0.2349,0.1516,0.2870,0.9356,0.8217,0.9773,-0.1102,0.0220,0.2170,0.0559,0.0369,0.0727,-0.0236,0.0068,0.1490,0.0017,0.0867,0.9692
