scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_linear_z3,True,0.6837,0.6415,0.7259,0.0000,0.0000,0.0000,0.0889,0.0511,0.1395,0.0000,0.0000,0.0000,0.0568,0.0152,0.1061,0.0000,0.0000,0.0000,0.1591,0.0908,0.2045,0.0000,0.0000,0.0000,0.3467,0.3132,0.3908,0.0000,0.0000,0.0000,0.0000,0.0000,0.9359
z_global_cal,False,0.6836,0.6415,0.7257,-0.0011,0.0009,0.3930,0.0889,0.0511,0.1395,0.0000,0.0000,0.0000,0.0568,0.0152,0.1061,0.0000,0.0000,0.0000,0.1591,0.0908,0.2045,0.0000,0.0000,0.0000,0.3467,0.3132,0.3908,0.0000,0.0000,0.0000,0.0000,0.0000,0.9357
mahalanobis,False,0.6608,0.6194,0.7006,-0.0444,-0.0001,0.0230,0.0793,0.0497,0.1287,-0.0515,0.0399,0.3900,0.0568,0.0227,0.1023,-0.0530,0.0568,0.5660,0.1136,0.0758,0.2083,-0.0909,0.0531,0.3430,0.3927,0.3554,0.4365,-0.0780,-0.0118,0.0030,0.0000,0.0000,0.9653
tier_switch,False,0.6608,0.6194,0.7006,-0.0444,-0.0001,0.0230,0.0793,0.0497,0.1287,-0.0515,0.0399,0.3900,0.0568,0.0227,0.1023,-0.0530,0.0568,0.5660,0.1136,0.0758,0.2083,-0.0909,0.0531,0.3430,0.3927,0.3554,0.4365,-0.0780,-0.0118,0.0030,0.0000,0.0000,0.9653
z_persender_cal,False,0.6750,0.6343,0.7164,-0.0171,-0.0010,0.0130,0.0705,0.0427,0.1091,-0.0426,0.0056,0.0840,0.0530,0.0076,0.0947,-0.0568,0.0303,0.3600,0.1023,0.0682,0.1970,-0.0759,0.0152,0.0650,0.3672,0.3318,0.4079,-0.0369,0.0019,0.0360,0.0000,0.0000,0.9365
z_persender_sigmoid,False,0.6749,0.6340,0.7164,-0.0172,-0.0010,0.0130,0.0705,0.0427,0.1091,-0.0426,0.0056,0.0840,0.0530,0.0076,0.0947,-0.0568,0.0303,0.3600,0.1023,0.0682,0.1970,-0.0759,0.0152,0.0650,0.3672,0.3318,0.4079,-0.0369,0.0019,0.0360,0.0000,0.0000,0.9370
mahal_blend,False,0.6656,0.6220,0.7055,-0.0374,0.0021,0.0400,0.0603,0.0325,0.1036,-0.0746,0.0175,0.0940,0.0492,0.0038,0.0796,-0.0758,0.0417,0.2760,0.0985,0.0530,0.1819,-0.1098,0.0265,0.1010,0.3813,0.3451,0.4300,-0.0730,-0.0034,0.0100,0.0000,0.0000,0.9668
ewma_centroid_z3,False,0.6638,0.6208,0.7066,-0.0382,-0.0028,0.0150,0.0632,0.0349,0.1047,-0.0610,0.0074,0.0700,0.0379,0.0114,0.0833,-0.0606,0.0265,0.2580,0.0947,0.0530,0.1970,-0.1061,0.0303,0.0800,0.3790,0.3352,0.4163,-0.0491,0.0004,0.0260,0.0000,0.0000,0.8883
baseline_cosine,False,0.6653,0.6214,0.7048,-0.0379,0.0016,0.0450,0.0571,0.0288,0.0967,-0.0757,0.0131,0.0640,0.0265,0.0038,0.0720,-0.0758,0.0303,0.1740,0.1023,0.0568,0.1629,-0.1061,0.0152,0.0530,0.3858,0.3451,0.4266,-0.0693,-0.0034,0.0160,0.0000,0.0000,0.9652
