scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.5972,0.5511,0.6421,-0.0276,0.0344,0.6190,0.1012,0.0619,0.1495,0.0138,0.1002,0.9960,0.0795,0.0417,0.1174,-0.0076,0.0833,0.9410,0.1515,0.0947,0.2235,0.0303,0.1478,0.9970,0.4399,0.3927,0.4756,-0.0491,0.0308,0.3180,0.0017,0.0100,0.6571
tier_switch,False,0.5972,0.5511,0.6421,-0.0276,0.0344,0.6190,0.1012,0.0619,0.1495,0.0138,0.1002,0.9960,0.0795,0.0417,0.1174,-0.0076,0.0833,0.9410,0.1515,0.0947,0.2235,0.0303,0.1478,0.9970,0.4399,0.3927,0.4756,-0.0491,0.0308,0.3180,0.0017,0.0100,0.6571
baseline_linear_z3,True,0.5929,0.5462,0.6371,0.0000,0.0000,0.0000,0.0482,0.0275,0.0770,0.0000,0.0000,0.0000,0.0417,0.0152,0.0682,0.0000,0.0000,0.0000,0.0644,0.0379,0.1289,0.0000,0.0000,0.0000,0.4182,0.3824,0.4673,0.0000,0.0000,0.0000,0.0017,0.0050,0.6399
z_global_cal,False,0.5930,0.5465,0.6371,-0.0005,0.0008,0.6670,0.0482,0.0275,0.0770,0.0000,0.0000,0.0000,0.0417,0.0152,0.0682,0.0000,0.0000,0.0000,0.0644,0.0379,0.1289,0.0000,0.0000,0.0000,0.4182,0.3824,0.4673,0.0000,0.0000,0.0000,0.0017,0.0050,0.6401
z_persender_cal,False,0.5879,0.5416,0.6309,-0.0132,0.0034,0.1140,0.0474,0.0258,0.0798,-0.0152,0.0152,0.4840,0.0379,0.0152,0.0644,-0.0227,0.0189,0.3030,0.0720,0.0379,0.1250,-0.0265,0.0379,0.5720,0.4365,0.3942,0.4753,-0.0289,0.0099,0.1720,0.0017,0.0083,0.6346
z_persender_sigmoid,False,0.5878,0.5416,0.6307,-0.0133,0.0033,0.1100,0.0474,0.0258,0.0798,-0.0152,0.0152,0.4840,0.0379,0.0152,0.0644,-0.0227,0.0189,0.3030,0.0720,0.0379,0.1250,-0.0265,0.0379,0.5720,0.4365,0.3942,0.4753,-0.0289,0.0099,0.1720,0.0017,0.0083,0.6347
ewma_centroid_z3,False,0.5946,0.5488,0.6405,-0.0156,0.0183,0.5980,0.0552,0.0277,0.0890,-0.0219,0.0374,0.6600,0.0303,0.0114,0.0682,-0.0341,0.0303,0.2650,0.0909,0.0492,0.1440,-0.0265,0.0682,0.8000,0.4132,0.3752,0.4635,-0.0168,0.0304,0.6780,0.0050,0.0333,0.6280
baseline_cosine,False,0.5865,0.5408,0.6314,-0.0346,0.0223,0.3070,0.0458,0.0210,0.0850,-0.0334,0.0349,0.4660,0.0227,0.0076,0.0530,-0.0455,0.0189,0.1730,0.0947,0.0417,0.1630,-0.0303,0.0910,0.7490,0.4433,0.4041,0.4821,-0.0556,0.0225,0.1870,0.0050,0.0133,0.6442
mahal_blend,False,0.5914,0.5454,0.6357,-0.0302,0.0283,0.4440,0.0530,0.0232,0.0994,-0.0285,0.0479,0.6170,0.0189,0.0076,0.0568,-0.0492,0.0227,0.1610,0.1061,0.0567,0.1818,-0.0152,0.1098,0.9180,0.4384,0.3976,0.4787,-0.0525,0.0255,0.2660,0.0017,0.0133,0.6507
