scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.9739,0.9611,0.9850,-0.0016,0.0229,0.9540,0.6369,0.4950,0.7787,-0.1598,0.0033,0.0310,0.5038,0.2879,0.6668,-0.3220,0.1326,0.2980,0.8674,0.7725,0.9470,-0.1174,0.0038,0.0290,0.0727,0.0510,0.0978,-0.0323,0.0050,0.0680,0.0017,0.0433,0.9564
baseline_linear_z3,True,0.9634,0.9477,0.9782,0.0000,0.0000,0.0000,0.7126,0.5755,0.8429,0.0000,0.0000,0.0000,0.4886,0.4015,0.7842,0.0000,0.0000,0.0000,0.9167,0.8289,0.9698,0.0000,0.0000,0.0000,0.0609,0.0403,0.0799,0.0000,0.0000,0.0000,0.0083,0.2483,0.9313
z_global_cal,False,0.9646,0.9495,0.9791,-0.0009,0.0050,0.6440,0.7126,0.5755,0.8429,-0.0001,0.0000,0.0040,0.4886,0.4015,0.7842,0.0000,0.0000,0.0000,0.9167,0.8289,0.9697,-0.0006,0.0000,0.0050,0.0609,0.0407,0.0811,-0.0076,0.0000,0.0090,0.0083,0.2483,0.9315
mahal_blend,False,0.9739,0.9613,0.9847,-0.0017,0.0226,0.9560,0.6388,0.4964,0.7778,-0.1546,0.0068,0.0350,0.4697,0.3068,0.6705,-0.2955,0.1402,0.2560,0.8674,0.7611,0.9470,-0.1213,0.0031,0.0260,0.0727,0.0510,0.0966,-0.0335,0.0034,0.0480,0.0017,0.0467,0.9570
ewma_centroid_z3,False,0.9103,0.8884,0.9331,-0.0715,-0.0357,0.0000,0.6568,0.5101,0.7839,-0.1230,-0.0083,0.0090,0.4318,0.3030,0.7614,-0.2652,0.0833,0.1110,0.8473,0.7676,0.8886,-0.1281,-0.0248,0.0020,0.0945,0.0713,0.1177,-0.0583,-0.0150,0.0010,0.0133,1.0000,0.8820
mahalanobis,False,0.9672,0.9532,0.9791,-0.0080,0.0155,0.7320,0.5993,0.4736,0.7402,-0.1934,-0.0232,0.0070,0.4242,0.2311,0.6668,-0.2879,0.1477,0.2240,0.7992,0.6666,0.9167,-0.2197,-0.0227,0.0060,0.0913,0.0643,0.1119,-0.0491,-0.0068,0.0030,0.0017,0.0167,0.9539
tier_switch,False,0.9672,0.9532,0.9791,-0.0080,0.0155,0.7320,0.5993,0.4736,0.7402,-0.1934,-0.0232,0.0070,0.4242,0.2311,0.6668,-0.2879,0.1477,0.2240,0.7992,0.6666,0.9167,-0.2197,-0.0227,0.0060,0.0913,0.0643,0.1119,-0.0491,-0.0068,0.0030,0.0017,0.0167,0.9539
z_persender_cal,False,0.9610,0.9442,0.9764,-0.0048,-0.0005,0.0040,0.6848,0.5209,0.8353,-0.0691,0.0062,0.0580,0.4167,0.3030,0.8030,-0.2386,0.0569,0.2270,0.9167,0.8182,0.9621,-0.0492,0.0265,0.2380,0.0609,0.0441,0.0845,-0.0156,0.0068,0.1710,0.0050,0.2467,0.9268
z_persender_sigmoid,False,0.9699,0.9563,0.9819,0.0004,0.0140,0.9820,0.6848,0.5209,0.8353,-0.0691,0.0062,0.0580,0.4167,0.3030,0.8030,-0.2386,0.0569,0.2270,0.9167,0.8182,0.9621,-0.0492,0.0265,0.2380,0.0609,0.0441,0.0845,-0.0156,0.0068,0.1710,0.0050,0.2467,0.9276
