scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.9831,0.9731,0.9909,0.0054,0.0266,0.9990,0.7129,0.5730,0.8390,-0.0617,0.1072,0.6810,0.6061,0.3902,0.7689,-0.1668,0.2728,0.7630,0.9129,0.8104,0.9811,-0.0720,0.0568,0.4210,0.0666,0.0388,0.0830,-0.0205,0.0103,0.2450,0.0033,0.0600,0.9726
mahal_blend,False,0.9826,0.9725,0.9904,0.0049,0.0260,0.9990,0.7065,0.5640,0.8366,-0.0744,0.1035,0.6160,0.5909,0.3748,0.7615,-0.1971,0.2500,0.6900,0.9167,0.7992,0.9811,-0.0646,0.0568,0.4200,0.0666,0.0388,0.0830,-0.0205,0.0103,0.2270,0.0033,0.0583,0.9729
mahalanobis,False,0.9773,0.9649,0.9866,-0.0011,0.0213,0.9520,0.6416,0.5030,0.7852,-0.1719,0.0663,0.2000,0.4697,0.2688,0.7009,-0.3489,0.2386,0.5090,0.9129,0.7196,0.9508,-0.1630,0.0455,0.1600,0.0749,0.0491,0.0929,-0.0308,0.0038,0.0590,0.0000,0.0550,0.9703
tier_switch,False,0.9773,0.9649,0.9866,-0.0011,0.0213,0.9520,0.6416,0.5030,0.7852,-0.1719,0.0663,0.2000,0.4697,0.2688,0.7009,-0.3489,0.2386,0.5090,0.9129,0.7196,0.9508,-0.1630,0.0455,0.1600,0.0749,0.0491,0.0929,-0.0308,0.0038,0.0590,0.0000,0.0550,0.9703
baseline_linear_z3,True,0.9679,0.9510,0.9817,0.0000,0.0000,0.0000,0.6916,0.5177,0.8478,0.0000,0.0000,0.0000,0.4432,0.2576,0.8448,0.0000,0.0000,0.0000,0.9205,0.8258,0.9774,0.0000,0.0000,0.0000,0.0525,0.0354,0.0761,0.0000,0.0000,0.0000,0.0083,0.2050,0.9400
z_global_cal,False,0.9765,0.9628,0.9879,0.0017,0.0171,0.9920,0.6916,0.5177,0.8478,0.0000,0.0023,0.1210,0.4432,0.2576,0.8448,0.0000,0.0000,0.0000,0.9205,0.8258,0.9886,0.0000,0.0188,0.1210,0.0525,0.0354,0.0761,0.0000,0.0000,0.0200,0.0083,0.2050,0.9452
z_persender_cal,False,0.9726,0.9576,0.9853,-0.0027,0.0125,0.8720,0.6198,0.4256,0.8050,-0.1209,-0.0246,0.0000,0.3788,0.1212,0.7689,-0.2538,0.0152,0.0420,0.9356,0.7613,0.9811,-0.0947,0.0303,0.2640,0.0540,0.0373,0.0780,-0.0133,0.0103,0.3240,0.0000,0.2467,0.9461
z_persender_sigmoid,False,0.9781,0.9645,0.9889,0.0005,0.0200,0.9840,0.6198,0.4256,0.8050,-0.1209,-0.0246,0.0000,0.3788,0.1212,0.7689,-0.2538,0.0152,0.0420,0.9356,0.7613,0.9811,-0.0947,0.0303,0.2640,0.0540,0.0373,0.0780,-0.0133,0.0103,0.3240,0.0000,0.2467,0.9481
ewma_centroid_z3,False,0.9306,0.9081,0.9511,-0.0535,-0.0224,0.0000,0.6408,0.4419,0.8020,-0.1117,-0.0041,0.0190,0.3182,0.2120,0.6894,-0.2311,0.0379,0.1150,0.8917,0.8335,0.9255,-0.0998,0.0468,0.2470,0.0733,0.0528,0.0953,-0.0393,0.0035,0.0470,0.0033,1.0000,0.9067
