scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
baseline_cosine,False,0.8875,0.8588,0.9138,0.0067,0.0387,0.9960,0.3203,0.2091,0.4386,0.0236,0.1948,0.9960,0.2045,0.0417,0.4055,-0.0683,0.2539,0.8160,0.4811,0.3939,0.6137,-0.0909,0.2197,0.8890,0.1963,0.1610,0.2317,-0.0084,0.0506,0.9090,0.0000,0.0017,0.9729
mahal_blend,False,0.8852,0.8570,0.9119,0.0034,0.0362,0.9920,0.3192,0.2152,0.4423,0.0208,0.1996,0.9960,0.1932,0.0644,0.4130,-0.0530,0.2690,0.8660,0.4735,0.3826,0.6023,-0.0721,0.2235,0.9000,0.1998,0.1655,0.2352,-0.0149,0.0491,0.8320,0.0000,0.0017,0.9746
mahalanobis,False,0.8652,0.8344,0.8929,-0.0199,0.0202,0.5110,0.2799,0.1900,0.4006,-0.0373,0.1655,0.9070,0.1705,0.1060,0.3144,-0.0606,0.1856,0.8680,0.4583,0.3030,0.5455,-0.1288,0.1970,0.7620,0.2116,0.1811,0.2504,-0.0320,0.0323,0.4960,0.0000,0.0017,0.9744
tier_switch,False,0.8652,0.8344,0.8929,-0.0199,0.0202,0.5110,0.2799,0.1900,0.4006,-0.0373,0.1655,0.9070,0.1705,0.1060,0.3144,-0.0606,0.1856,0.8680,0.4583,0.3030,0.5455,-0.1288,0.1970,0.7620,0.2116,0.1811,0.2504,-0.0320,0.0323,0.4960,0.0000,0.0017,0.9744
z_persender_cal,False,0.8564,0.8232,0.8855,-0.0149,-0.0020,0.0030,0.1811,0.1108,0.2834,-0.0822,0.0066,0.0590,0.0985,0.0568,0.1857,-0.0833,0.0455,0.3920,0.3561,0.1932,0.4735,-0.1667,0.0492,0.1600,0.2116,0.1758,0.2409,-0.0107,0.0304,0.7810,0.0000,0.0017,0.9360
z_persender_sigmoid,False,0.8593,0.8259,0.8876,-0.0127,0.0016,0.0640,0.1811,0.1108,0.2834,-0.0822,0.0066,0.0590,0.0985,0.0568,0.1857,-0.0833,0.0455,0.3920,0.3561,0.1932,0.4735,-0.1667,0.0492,0.1600,0.2116,0.1758,0.2409,-0.0107,0.0304,0.7810,0.0000,0.0017,0.9411
baseline_linear_z3,True,0.8646,0.8328,0.8933,0.0000,0.0000,0.0000,0.2157,0.1254,0.3270,0.0000,0.0000,0.0000,0.0947,0.0417,0.2538,0.0000,0.0000,0.0000,0.3788,0.2537,0.5871,0.0000,0.0000,0.0000,0.2180,0.1845,0.2523,0.0000,0.0000,0.0000,0.0000,0.0033,0.9377
z_global_cal,False,0.8662,0.8352,0.8942,-0.0011,0.0045,0.8490,0.2157,0.1254,0.3270,0.0000,0.0000,0.0000,0.0947,0.0417,0.2538,0.0000,0.0000,0.0000,0.3788,0.2537,0.5871,0.0000,0.0000,0.0000,0.2180,0.1845,0.2523,0.0000,0.0000,0.0000,0.0000,0.0033,0.9410
ewma_centroid_z3,False,0.8344,0.8011,0.8653,-0.0466,-0.0136,0.0000,0.1350,0.0809,0.2005,-0.1659,-0.0139,0.0100,0.0871,0.0417,0.1402,-0.1554,0.0492,0.3060,0.2235,0.1326,0.3409,-0.3220,-0.0454,0.0010,0.2066,0.1758,0.2436,-0.0202,0.0373,0.7020,0.0000,0.0017,0.9080
