scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
ewma_centroid_z3,False,0.5961,0.5514,0.6400,-0.0115,0.0271,0.7850,0.0981,0.0588,0.1450,-0.0059,0.0697,0.9470,0.0720,0.0076,0.1250,-0.0455,0.0758,0.7140,0.1553,0.0985,0.1970,-0.0341,0.0947,0.8150,0.4380,0.4011,0.4806,-0.0289,0.0369,0.5440,0.0167,0.0500,0.6161
mahalanobis,False,0.6052,0.5570,0.6507,-0.0189,0.0510,0.8370,0.0800,0.0490,0.1191,-0.0322,0.0524,0.7080,0.0568,0.0227,0.1061,-0.0417,0.0606,0.6000,0.1098,0.0682,0.1742,-0.0720,0.0720,0.5150,0.4281,0.3824,0.4673,-0.0236,0.0590,0.8000,0.0000,0.0067,0.6593
tier_switch,False,0.6052,0.5570,0.6507,-0.0189,0.0510,0.8370,0.0800,0.0490,0.1191,-0.0322,0.0524,0.7080,0.0568,0.0227,0.1061,-0.0417,0.0606,0.6000,0.1098,0.0682,0.1742,-0.0720,0.0720,0.5150,0.4281,0.3824,0.4673,-0.0236,0.0590,0.8000,0.0000,0.0067,0.6593
baseline_linear_z3,True,0.5878,0.5429,0.6332,0.0000,0.0000,0.0000,0.0664,0.0373,0.1107,0.0000,0.0000,0.0000,0.0530,0.0113,0.0871,0.0000,0.0000,0.0000,0.1023,0.0568,0.1894,0.0000,0.0000,0.0000,0.4399,0.4011,0.4840,0.0000,0.0000,0.0000,0.0117,0.0367,0.6313
z_global_cal,False,0.5881,0.5431,0.6333,-0.0002,0.0010,0.8450,0.0664,0.0373,0.1107,0.0000,0.0000,0.0000,0.0530,0.0113,0.0871,0.0000,0.0000,0.0000,0.1023,0.0568,0.1894,0.0000,0.0000,0.0000,0.4399,0.4011,0.4840,0.0000,0.0000,0.0000,0.0117,0.0367,0.6319
z_persender_cal,False,0.5837,0.5367,0.6280,-0.0133,0.0047,0.1770,0.0705,0.0403,0.1067,-0.0218,0.0197,0.5540,0.0492,0.0076,0.0947,-0.0455,0.0227,0.3030,0.0985,0.0644,0.1477,-0.0720,0.0303,0.3580,0.4399,0.4045,0.4855,-0.0221,0.0190,0.4410,0.0067,0.0400,0.6242
z_persender_sigmoid,False,0.5839,0.5370,0.6282,-0.0129,0.0048,0.1850,0.0705,0.0403,0.1067,-0.0218,0.0197,0.5540,0.0492,0.0076,0.0947,-0.0455,0.0227,0.3030,0.0985,0.0644,0.1477,-0.0720,0.0303,0.3580,0.4399,0.4045,0.4855,-0.0221,0.0190,0.4410,0.0067,0.0400,0.6246
mahal_blend,False,0.5887,0.5405,0.6348,-0.0356,0.0378,0.5040,0.0474,0.0241,0.0790,-0.0605,0.0120,0.1080,0.0303,0.0038,0.0644,-0.0682,0.0189,0.1100,0.0833,0.0417,0.1250,-0.1023,0.0228,0.1430,0.4418,0.4060,0.4875,-0.0438,0.0388,0.4430,0.0033,0.0050,0.6411
baseline_cosine,False,0.5818,0.5343,0.6287,-0.0435,0.0310,0.3720,0.0401,0.0183,0.0701,-0.0684,0.0049,0.0510,0.0152,0.0038,0.0530,-0.0720,0.0114,0.0700,0.0682,0.0341,0.1174,-0.1136,0.0189,0.1000,0.4539,0.4060,0.4874,-0.0457,0.0373,0.4290,0.0033,0.0050,0.6308
