scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin,fpr_other_at_1,fpr_other_at_5,auc_g_other
mahalanobis,False,0.9787,0.9676,0.9872,0.0122,0.0364,1.0000,0.6852,0.5429,0.8022,-0.0277,0.1594,0.8990,0.5000,0.3711,0.7917,-0.1024,0.3371,0.8910,0.8598,0.7841,0.9395,-0.0871,0.0418,0.1070,0.0689,0.0525,0.0989,-0.0267,0.0084,0.1820,0.0000,0.0317,0.9687
tier_switch,False,0.9787,0.9676,0.9872,0.0122,0.0364,1.0000,0.6852,0.5429,0.8022,-0.0277,0.1594,0.8990,0.5000,0.3711,0.7917,-0.1024,0.3371,0.8910,0.8598,0.7841,0.9395,-0.0871,0.0418,0.1070,0.0689,0.0525,0.0989,-0.0267,0.0084,0.1820,0.0000,0.0317,0.9687
mahal_blend,False,0.9797,0.9684,0.9881,0.0131,0.0381,1.0000,0.6799,0.5321,0.8068,-0.0376,0.1553,0.8720,0.4735,0.3220,0.7690,-0.1213,0.3598,0.9090,0.8750,0.7726,0.9545,-0.0909,0.0417,0.2110,0.0712,0.0476,0.0898,-0.0171,0.0137,0.3560,0.0000,0.0417,0.9708
baseline_cosine,False,0.9794,0.9680,0.9881,0.0126,0.0379,1.0000,0.6736,0.5266,0.8048,-0.0494,0.1550,0.8210,0.4659,0.3219,0.7500,-0.1554,0.3902,0.8770,0.8598,0.7424,0.9583,-0.0985,0.0379,0.2010,0.0624,0.0476,0.0913,-0.0171,0.0141,0.4040,0.0000,0.0383,0.9709
baseline_linear_z3,True,0.9550,0.9367,0.9707,0.0000,0.0000,0.0000,0.6278,0.4222,0.7944,0.0000,0.0000,0.0000,0.3295,0.2498,0.6896,0.0000,0.0000,0.0000,0.9053,0.7764,0.9546,0.0000,0.0000,0.0000,0.0643,0.0475,0.0868,0.0000,0.0000,0.0000,0.0000,0.1600,0.9382
z_global_cal,False,0.9597,0.9426,0.9755,-0.0003,0.0117,0.9530,0.6278,0.4222,0.7944,0.0000,0.0000,0.0090,0.3295,0.2498,0.6896,0.0000,0.0000,0.0000,0.9053,0.7764,0.9583,0.0000,0.0000,0.0090,0.0643,0.0472,0.0879,-0.0046,0.0000,0.0240,0.0000,0.1600,0.9401
z_persender_cal,False,0.9561,0.9377,0.9726,-0.0035,0.0079,0.6440,0.5899,0.3817,0.7669,-0.0694,-0.0057,0.0030,0.3258,0.1174,0.6819,-0.2083,0.0266,0.2670,0.9015,0.7348,0.9583,-0.0947,0.0114,0.1410,0.0658,0.0472,0.0883,-0.0103,0.0084,0.3350,0.0000,0.1517,0.9391
z_persender_sigmoid,False,0.9658,0.9475,0.9797,0.0008,0.0217,0.9820,0.5899,0.3817,0.7669,-0.0694,-0.0057,0.0030,0.3258,0.1174,0.6819,-0.2083,0.0266,0.2670,0.9015,0.7348,0.9583,-0.0947,0.0114,0.1410,0.0658,0.0472,0.0883,-0.0103,0.0084,0.3330,0.0000,0.1517,0.9413
ewma_centroid_z3,False,0.9051,0.8788,0.9290,-0.0687,-0.0320,0.0000,0.5917,0.3834,0.7490,-0.0919,0.0173,0.0890,0.2689,0.0945,0.7386,-0.2576,0.1364,0.2270,0.8431,0.7538,0.8879,-0.1157,-0.0067,0.0180,0.0979,0.0740,0.1225,-0.0537,-0.0124,0.0020,0.0050,1.0000,0.8959
