scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
mahalanobis,False,0.9084,0.8713,0.9394,-0.0176,0.0343,0.7290,0.6167,0.5150,0.7192,-0.0875,0.1117,0.5730,0.6333,0.3750,0.7167,-0.2250,0.1835,0.7200,0.6667,0.5833,0.7667,-0.1333,0.0917,0.3130,0.1750,0.1367,0.2250,-0.0525,0.0475,0.4340
mahal_blend,False,0.9084,0.8713,0.9394,-0.0176,0.0343,0.7290,0.6167,0.5150,0.7192,-0.0875,0.1117,0.5730,0.6333,0.3750,0.7167,-0.2250,0.1835,0.7200,0.6667,0.5833,0.7667,-0.1333,0.0917,0.3130,0.1750,0.1367,0.2250,-0.0525,0.0475,0.4340
tier_switch,False,0.9084,0.8713,0.9394,-0.0176,0.0343,0.7290,0.6167,0.5150,0.7192,-0.0875,0.1117,0.5730,0.6333,0.3750,0.7167,-0.2250,0.1835,0.7200,0.6667,0.5833,0.7667,-0.1333,0.0917,0.3130,0.1750,0.1367,0.2250,-0.0525,0.0475,0.4340
baseline_linear_z3,True,0.9007,0.8582,0.9361,0.0000,0.0000,0.0000,0.5975,0.4983,0.7142,0.0000,0.0000,0.0000,0.5750,0.4417,0.6833,0.0000,0.0000,0.0000,0.7000,0.5583,0.8250,0.0000,0.0000,0.0000,0.1892,0.1250,0.2334,0.0000,0.0000,0.0000
z_global_cal,False,0.9008,0.8583,0.9361,0.0000,0.0005,0.8550,0.5975,0.4983,0.7142,0.0000,0.0000,0.0000,0.5750,0.4417,0.6833,0.0000,0.0000,0.0000,0.7000,0.5583,0.8250,0.0000,0.0000,0.0000,0.1892,0.1250,0.2334,0.0000,0.0000,0.0000
ewma_centroid_z3,False,0.8986,0.8563,0.9335,-0.0136,0.0089,0.3320,0.5717,0.4300,0.7125,-0.1117,0.0400,0.2090,0.4500,0.3250,0.7083,-0.2167,0.0750,0.0970,0.7250,0.5750,0.8250,-0.0667,0.1167,0.6760,0.1717,0.1291,0.2408,-0.0408,0.0250,0.3280
baseline_cosine,False,0.8879,0.8487,0.9218,-0.0362,0.0072,0.1160,0.5117,0.3983,0.6209,-0.1909,-0.0108,0.0130,0.4167,0.3000,0.6167,-0.2833,0.0169,0.0490,0.6000,0.5083,0.7083,-0.1917,0.0167,0.0480,0.2117,0.1592,0.2500,-0.0750,0.0133,0.0940
z_persender_cal,False,0.8858,0.8416,0.9231,-0.0297,0.0020,0.0370,0.4700,0.3233,0.6159,-0.2442,-0.0400,0.0010,0.3000,0.1917,0.6167,-0.3667,0.0000,0.0190,0.6333,0.5000,0.7417,-0.1750,0.0417,0.0930,0.1842,0.1408,0.2408,-0.0500,0.0234,0.2370
z_persender_sigmoid,False,0.8853,0.8405,0.9228,-0.0298,0.0003,0.0300,0.4700,0.3233,0.6159,-0.2442,-0.0400,0.0010,0.3000,0.1917,0.6167,-0.3667,0.0000,0.0190,0.6333,0.5000,0.7417,-0.1750,0.0417,0.0930,0.1842,0.1408,0.2408,-0.0500,0.0234,0.2370
