scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
baseline_linear_z3,True,0.8508,0.8008,0.8942,0.0000,0.0000,0.0000,0.4958,0.3983,0.6192,0.0000,0.0000,0.0000,0.5000,0.2833,0.6083,0.0000,0.0000,0.0000,0.5750,0.4750,0.7167,0.0000,0.0000,0.0000,0.2408,0.1817,0.2892,0.0000,0.0000,0.0000
z_global_cal,False,0.8576,0.8102,0.8992,-0.0032,0.0173,0.9180,0.4958,0.3983,0.6192,0.0000,0.0000,0.0000,0.5000,0.2833,0.6083,0.0000,0.0000,0.0000,0.5750,0.4750,0.7167,0.0000,0.0000,0.0000,0.2408,0.1817,0.2892,0.0000,0.0000,0.0000
z_persender_cal,False,0.8591,0.8115,0.8995,-0.0102,0.0293,0.8210,0.4375,0.3400,0.5467,-0.1100,-0.0200,0.0020,0.4250,0.1833,0.5333,-0.1333,0.0333,0.1150,0.5250,0.4167,0.6583,-0.1667,0.0002,0.0250,0.2250,0.1817,0.2867,-0.0317,0.0317,0.5190
z_persender_sigmoid,False,0.8592,0.8117,0.8995,-0.0101,0.0293,0.8240,0.4375,0.3400,0.5467,-0.1100,-0.0200,0.0020,0.4250,0.1833,0.5333,-0.1333,0.0333,0.1150,0.5250,0.4167,0.6583,-0.1667,0.0002,0.0250,0.2250,0.1817,0.2867,-0.0317,0.0317,0.5190
baseline_cosine,False,0.8639,0.8200,0.9036,-0.0236,0.0524,0.7430,0.4108,0.2783,0.5592,-0.1917,0.0183,0.0620,0.3333,0.1250,0.5417,-0.3752,0.0500,0.0810,0.6000,0.4417,0.7000,-0.1333,0.1002,0.3660,0.2175,0.1750,0.2908,-0.0534,0.0658,0.5720
mahalanobis,False,0.8639,0.8200,0.9036,-0.0236,0.0524,0.7430,0.4108,0.2783,0.5592,-0.1917,0.0183,0.0620,0.3333,0.1250,0.5417,-0.3752,0.0500,0.0810,0.6000,0.4417,0.7000,-0.1333,0.1002,0.3660,0.2175,0.1750,0.2908,-0.0534,0.0658,0.5720
mahal_blend,False,0.8639,0.8200,0.9036,-0.0236,0.0524,0.7430,0.4108,0.2783,0.5592,-0.1917,0.0183,0.0620,0.3333,0.1250,0.5417,-0.3752,0.0500,0.0810,0.6000,0.4417,0.7000,-0.1333,0.1002,0.3660,0.2175,0.1750,0.2908,-0.0534,0.0658,0.5720
tier_switch,False,0.8639,0.8200,0.9036,-0.0236,0.0524,0.7430,0.4108,0.2783,0.5592,-0.1917,0.0183,0.0620,0.3333,0.1250,0.5417,-0.3752,0.0500,0.0810,0.6000,0.4417,0.7000,-0.1333,0.1002,0.3660,0.2175,0.1750,0.2908,-0.0534,0.0658,0.5720
ewma_centroid_z3,False,0.6615,0.6172,0.7071,-0.2345,-0.1392,0.0000,0.2943,0.2108,0.3888,-0.3171,-0.1073,0.0000,0.2583,0.1833,0.3585,-0.3500,0.0000,0.0240,0.3617,0.2583,0.4500,-0.3583,-0.1304,0.0000,0.3433,0.2991,0.3850,-0.1633,-0.0550,0.0000
