scorer,is_baseline,auc,auc_lo,auc_hi,auc_dlo,auc_dhi,auc_pwin,pauc5,pauc5_lo,pauc5_hi,pauc5_dlo,pauc5_dhi,pauc5_pwin,tpr1,tpr1_lo,tpr1_hi,tpr1_dlo,tpr1_dhi,tpr1_pwin,tpr5,tpr5_lo,tpr5_hi,tpr5_dlo,tpr5_dhi,tpr5_pwin,eer,eer_lo,eer_hi,eer_dlo,eer_dhi,eer_pwin
baseline_linear_z3,True,0.8577,0.8102,0.9042,0.0000,0.0000,0.0000,0.5358,0.4266,0.6525,0.0000,0.0000,0.0000,0.4583,0.3500,0.6250,0.0000,0.0000,0.0000,0.6500,0.5250,0.7500,0.0000,0.0000,0.0000,0.2092,0.1617,0.2592,0.0000,0.0000,0.0000
ewma_centroid_z3,False,0.8457,0.7988,0.8889,-0.0359,0.0118,0.1490,0.4308,0.3117,0.5776,-0.1992,-0.0025,0.0240,0.4583,0.1500,0.5500,-0.2917,0.0500,0.1860,0.5917,0.4250,0.7167,-0.2250,0.0500,0.0980,0.2067,0.1658,0.2592,-0.0409,0.0317,0.4350
z_global_cal,False,0.8586,0.8097,0.9039,-0.0030,0.0056,0.6700,0.5358,0.4266,0.6525,0.0000,0.0000,0.0000,0.4583,0.3500,0.6250,0.0000,0.0000,0.0000,0.6500,0.5250,0.7500,0.0000,0.0000,0.0000,0.2092,0.1617,0.2592,0.0000,0.0000,0.0000
z_persender_cal,False,0.8575,0.8099,0.8995,-0.0137,0.0125,0.4810,0.4808,0.3875,0.5901,-0.1450,0.0225,0.0960,0.4417,0.3415,0.5583,-0.1833,0.0667,0.3680,0.5917,0.4500,0.7000,-0.1917,0.0167,0.0610,0.2158,0.1683,0.2642,-0.0409,0.0225,0.2830
z_persender_sigmoid,False,0.8562,0.8082,0.8984,-0.0150,0.0117,0.4140,0.4808,0.3875,0.5901,-0.1450,0.0225,0.0960,0.4417,0.3415,0.5583,-0.1833,0.0667,0.3680,0.5917,0.4500,0.7000,-0.1917,0.0167,0.0610,0.2158,0.1683,0.2642,-0.0409,0.0225,0.2830
mahalanobis,False,0.8411,0.7948,0.8854,-0.0462,0.0112,0.1170,0.4817,0.3816,0.5892,-0.1350,0.0084,0.0420,0.4333,0.2833,0.5833,-0.1500,0.0750,0.2600,0.5417,0.4583,0.6500,-0.1917,0.0000,0.0190,0.2317,0.1866,0.2933,-0.0800,0.0109,0.0720
tier_switch,False,0.8411,0.7948,0.8854,-0.0462,0.0112,0.1170,0.4817,0.3816,0.5892,-0.1350,0.0084,0.0420,0.4333,0.2833,0.5833,-0.1500,0.0750,0.2600,0.5417,0.4583,0.6500,-0.1917,0.0000,0.0190,0.2317,0.1866,0.2933,-0.0800,0.0109,0.0720
mahal_blend,False,0.8450,0.7998,0.8890,-0.0394,0.0145,0.1670,0.4533,0.3533,0.5617,-0.1534,-0.0233,0.0020,0.3583,0.2667,0.5583,-0.1583,0.0333,0.0950,0.5083,0.4250,0.6417,-0.2167,-0.0417,0.0040,0.2383,0.1933,0.2959,-0.0817,0.0034,0.0360
baseline_cosine,False,0.8439,0.7987,0.8881,-0.0413,0.0131,0.1600,0.4283,0.3300,0.5325,-0.1717,-0.0550,0.0000,0.3500,0.2667,0.5167,-0.1750,-0.0250,0.0020,0.4917,0.4000,0.6417,-0.2333,-0.0498,0.0010,0.2392,0.1908,0.3001,-0.0817,0.0025,0.0330
